"","Dopaminergic Neurons","Oligodendrocytes","Astrocytes","Microglia","OPCs","GABAergic Neurons","Endothelial"
"0",-0.178400505383496,1.78733969536194,-0.570872710862486,-0.225535611015124,-0.153700018329416,-0.0554819309943553,-0.0611554631724136
"1",-0.206443050966559,-0.57602388977911,1.28506198398214,-0.215264784292932,0.146525147454733,-0.0512148031031255,-0.0652221308491917
"2",-0.135982649835774,-0.45563465358531,-0.389219488124619,1.22999010293379,-0.172927460950597,-0.0711769508190918,-0.0750195548494954
"3",-0.248858826416003,1.99089929310255,-0.677767490451266,-0.265096838608876,-0.194321570576959,-0.0789119914762261,-0.0739865047560152
"4",1.96159780747871,0.151926713967723,-0.149256612401168,-0.239819945605529,-0.151293985034892,-0.0616743343371099,-0.0595033368626264
"5",-0.221055709433704,-0.507678773070254,-0.5166741338848,-0.26191067043801,1.56675057382441,0.206594418688521,-0.0739899449492655
"6",0.387157299733651,1.67707928654239,-0.42931686231993,-0.210205688797409,-0.139128601383868,-0.00824605022902606,-0.0544753408587693
"7",-0.143647725364821,-0.102554015370104,0.244616969397426,-0.158741250712182,-0.151869297172699,-0.0703509776672246,2.05439310684285
"8",0.676210429192323,-0.113694489882317,-0.329317743475772,-0.19230092720502,-0.126363613290696,-0.0591703302299292,-0.0562101297480612
"9",0.199424234576576,0.212299383577795,-0.130346337049925,-0.221096277863178,-0.144256462631589,1.76256364326909,-0.0617031432553899
"10",-0.251433490042275,-0.45035485544273,-0.573556858103018,-0.266173428833225,-0.168584075580576,0.301248182381901,-0.0623924517048287
"11",0.632261444830698,-0.42594943310417,1.18388218408045,-0.245849553701208,0.0555254136486359,0.0114205348466835,-0.0758322405193648
"12",-0.256442874673834,1.20500575623359,0.483283940161078,-0.259466562604125,-0.00152986861711483,-0.0673954643250796,-0.0841864996553016
"13",-0.193733111186124,-0.289327895341784,-0.393705918418769,-0.221013356225719,-0.189746541049267,-0.0912941594409173,-0.0276307794742139
"14",-0.20255765139879,-0.100973277530488,-0.451115387877063,-0.203284495234138,-0.135154534401097,0.734115741947233,0.0140636655550129
"15",-0.245293100597551,1.39227012984641,-0.615301013654524,0.668335449712803,-0.213522602618966,-0.0790023920200774,-0.0698453931029909
"16",-0.166758198315634,-0.429080317353284,-0.421833491154261,0.562771804260115,-0.0765836873949241,-0.066988189424749,-0.0541499218632539
"17",-0.242686773764285,-0.664999653430103,0.81975182937296,0.645390238056865,0.0176252276194231,-0.0741780831910121,-0.0744832381469958
"18",-0.13800900812565,-0.231051553004617,-0.252755861272514,-0.190059199682954,0.072065720481503,-0.0827899111190076,-0.0174964069274335
"19",-0.145281020301142,-0.184493373105187,-0.500961779562691,-0.220096367724011,-0.029122470690878,0.393262563418892,0.0260476661481175
"20",-0.277832708913595,-0.637982909276172,0.584904958337592,-0.250761134063439,1.18858055123116,0.121907441381892,-0.0816599350844584
"21",-0.269985587514378,-0.581332884404849,-0.634912462061406,0.530306331427445,1.23404404851892,0.132931536567291,-0.0876311358812278
