"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.125976174007156,15.6281455599006,0.904840036279446,5626.92196691645,5633.15726617206,5935.23193830553
2,0.0740692928702486,-6.68858681188771,0.993733060522976,2864.71520759785,2860.82449866157,3296.54008961281
3,0.45718529638589,-12.2769900918334,0.956866651473908,1472.82182410916,1462.54385171166,1906.97316988664
4,0.784716834109393,-12.9277820282718,0.953240122886541,764.64758664098,753.179829255035,1141.75313812834
5,0.884999743319366,-10.7614943949086,0.96080698855207,400.905684266275,391.005029563244,704.90753950681
6,0.941654289118879,-9.26315754620037,0.980893241847941,212.306328264169,204.621280997447,447.52608311191
7,0.949719251179404,-8.0901910219033,0.976613797627585,113.589328019124,107.962692399524,291.549758028848
8,0.961734533874268,-6.8539933554708,0.978978116273285,61.4224180226993,57.4042402868036,194.581074679672
9,0.981425427787031,-5.88086310398179,0.996144609663859,33.5848161527084,30.7360552094989,132.864127225063
10,0.978206118459165,-5.21442933936931,0.988359040408276,18.5803279234272,16.5603399405446,92.7153034122222
12,0.967555278599154,-4.27896371874838,0.980978926640092,5.90927088733794,4.90048882027653,48.0021148547199
14,0.961129093831466,-3.53932307955163,0.973441920851216,1.99143022411829,1.48728281016134,26.8035992230286
16,0.473726476496087,-4.69192116088824,0.377827292643833,0.718246701641876,0.463365559332837,16.0190155067353
18,0.533948866417559,-3.43203036446666,0.516855120547365,0.280286957689829,0.148404838930053,10.1635010929934
20,0.519497454187653,-3.00110491832149,0.518901535561037,0.119455023100244,0.0485743689808492,6.78825250148481
22,0.460155805063076,-3.1566189305823,0.465730814821662,0.0558487405604044,0.0163260143365226,4.73411132653072
24,0.451164292887081,-2.8592100875098,0.471641582119073,0.0285701721781276,0.00563077061461692,3.4218920250201
26,0.425730173950142,-2.93844358970253,0.367288263660857,0.0158482720476993,0.00197663431344153,2.5472148778288
28,0.422575049123115,-2.76388609339615,0.372002418185282,0.00941326530372776,0.000705465990643361,1.94237564413173
30,0.435704318476538,-2.66002626503903,0.433508916578032,0.00590930834232459,0.000256804140360001,1.5108015947075
