"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.0593602984888201,10.8934413211181,0.939517661722237,6533.96504992743,6545.25785529995,6946.1893220512
2,0.0395962238802568,-4.60666564665348,0.994357096180276,3339.74547546092,3338.90450063706,3832.8133585328
3,0.242708178155263,-8.11937127545745,0.950000107180293,1722.77510683177,1713.9259004006,2175.33410336248
4,0.502759803089013,-8.94576491185981,0.912355685193045,896.888282468293,886.345996574566,1272.40938099821
5,0.726652309022678,-8.54702860431664,0.933566620247795,471.369429838883,461.532182029662,761.029261826424
6,0.809738499318174,-7.31720623969333,0.950092645868283,250.216090628033,242.552214277103,464.500907086841
7,0.874220547756179,-6.3712133677045,0.971209261129717,134.251750937507,128.341962492901,290.229015450014
8,0.916330627548431,-5.56018681303314,0.987676807736186,72.8798098133335,68.3424587267176,185.714744488324
9,0.937872279591778,-4.80413680320111,0.994569523888491,40.0803087607953,36.584957216593,121.305090964912
10,0.955231442059982,-4.11788333108663,0.997395996275872,22.3654344116564,19.681237615485,80.8179665720016
12,0.951269484712645,-3.40437578004211,0.992093257772522,7.33243706374267,5.81016441777951,43.1365636911473
14,0.944725516573144,-2.86271663675493,0.991348087586039,2.61519476340114,1.75727707077601,26.5825213134502
16,0.948373421086569,-2.39670744342527,0.994641824570472,1.03436605075507,0.544174656233353,17.4262868728413
18,0.95874700007453,-2.01795054739147,0.988464696386205,0.459926317213405,0.172307254921711,11.9523536466119
20,0.953782604972535,-1.86146808170902,0.991654370381657,0.230298390252943,0.0558687719623232,9.64709227721992
22,0.425541022166881,-2.39366536146141,0.404408251776988,0.128445462375609,0.0185203795590185,8.47592877029217
24,0.44194469665672,-2.24495876218271,0.419461208104971,0.0783628961630828,0.00626231969702196,7.6849916796032
26,0.457207758586729,-2.13573916237272,0.422927959627699,0.0513348799424733,0.0021623130059123,7.09089084221513
28,0.470368743391152,-2.06475549639437,0.419984039727755,0.0355620774602088,0.000759001622764321,6.60789344040324
30,0.478936609402868,-1.97102606391468,0.423312805473132,0.025757280689026,0.000271948155402546,6.19428081020921
