"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","module"
0,6.93255266139285,0.46,0.128,0,"yellow"
8.69984536560148e-270,-1.66360600140538,0.304,0.757,6.08989175592103e-269,"blue"
1.57301305472143e-142,-1.85362544169079,0.206,0.492,1.101109138305e-141,"red"
1.00799840649568e-17,-33.0484294732254,0.477,0.395,7.05598884546974e-17,"brown"
2.9780380200666e-17,1.82140100613498,0.278,0.205,2.08462661404662e-16,"turquoise"
3.10810456465189e-05,-2.79496948835111,0.315,0.267,0.000217567319525633,"black"
0.992198720486183,0.746310573183683,0.388,0.395,1,"green"
