gene_name,kME
Kcnj6,0.808810774356395
Pbx1,0.807184568375813
Klhl1,0.796423589333765
Nos1ap,0.793479128814182
Pex5l,0.791606041656609
Sgcz,0.787983555776896
Frmd4b,0.785461956410183
Slc35f1,0.78221922046685
Elavl2,0.780086500197614
9530059O14Rik,0.768968006163788
Cadm2,0.768764040181198
Erc2,0.76031895154866
Col25a1,0.759145431668675
Csmd1,0.758444235119739
Adarb2,0.756681204513548
Zfhx3,0.756301995464271
Rgs6,0.754466031775169
Galntl6,0.739502519261743
Drd2,0.735600797949331
Dpp10,0.72862548263639
Cntn4,0.727016189033162
Robo2,0.723465059550146
Slc6a3,0.723094135666048
Nwd2,0.72065641744845
Robo1,0.719638034739846
Vwc2l,0.718978818473702
Bnc2,0.712305766531024
Nkain2,0.707926840021082
Fam184a,0.706117276640262
Kcnd3,0.704206636657072
Kcnn3,0.704095379516931
Pcdh15,0.700491494454471
Lrrc3b,0.698109478170276
Meg3,0.687283828701151
Elavl4,0.685744156390124
Grm5,0.682532964587499
Prkca,0.6742097106097
A230006K03Rik,0.673674637506024
Pbx3,0.672171880140371
Cadps2,0.671710854324233
Anks1b,0.669285554013224
Adamtsl1,0.668393890057825
Brinp1,0.664423003894684
Cdh11,0.659343825201492
Slc35f4,0.657006702669745
Lix1,0.655559597431478
Il1rap,0.653770436329518
Erbb4,0.650801889382975
Kcns3,0.649748321114397
Spats2l,0.648902783840736
Grip2,0.64780105615989
4930419G24Rik,0.647274678791613
Ptpru,0.64433758270262
Mir124a-1hg,0.641942359606354
Cntn6,0.639040747459342
Sncaip,0.63818807698918
Satb1,0.633930000494154
Rims1,0.633146804360888
Cdh18,0.631152979776557
Epha4,0.631074858444682
Nrg1,0.630058575684008
Epha10,0.628554682561041
Gm26905,0.627014661623748
Clstn2,0.626107451836129
Dcc,0.624524437690687
Hecw2,0.617618694815445
Msi2,0.613614158592898
Kif26b,0.613553038751608
Dab1,0.612758817510381
Caln1,0.611613594494341
Rbms3,0.611226057356093
Cplx1,0.609162633456496
Nrxn3,0.606746002044581
Mob3b,0.600437138475816
Tmtc2,0.596947836362109
Gria3,0.593853571217786
Sgcd,0.592118202494364
Immp2l,0.587264580232586
Apba1,0.58662447817766
Serpine2,0.585156667360649
Tll1,0.584263557831478
Cntnap4,0.583394260809556
Rreb1,0.5801455502206
Ptprz1,0.57857569777376
Lrmda,0.574083251967838
St6gal2,0.573676079001391
Lrfn5,0.570937085777518
Tmem132b,0.569901863494957
Plxna4,0.568016777278659
Etv5,0.564309373624133
Ddc,0.562662716801586
Cadps,0.561408431028088
Sv2b,0.561402842019015
Cdh20,0.557109934498213
Epha6,0.555881182622664
Ccdc171,0.555842109249182
Ldlrad4,0.555004523017311
Tenm1,0.552834335197242
St6galnac5,0.550528234647638
Ret,0.547134626685593
Kcnb2,0.546475231231636
Kcnq3,0.545143781377602
Pou3f2,0.543056788638979
Rcan2,0.542421237704628
Macrod2,0.542196331123217
Sv2c,0.539815182384742
Syt17,0.535476223775211
March1,0.535453062910688
Chrnb3,0.53534546229556
Cux2,0.530884218579875
Bach2,0.529681372259293
Gabbr2,0.529126032149262
Auts2,0.527484621873538
Clvs1,0.526957203389642
Ntn1,0.525745956739887
Gsg1l,0.525579858660042
Celf2,0.525211178788477
Csmd3,0.523261213240484
Gm37459,0.523067519656205
Grk3,0.522995228185769
Rapgef5,0.522324753912863
Dgki,0.517121116690949
Pid1,0.512756549049145
St6galnac3,0.512510838704465
Mpp6,0.508890243786652
Gm15398,0.507438177758034
Fam189a1,0.507354232748304
Prr16,0.505989222627624
Ptpn5,0.504521679277594
Gm26936,0.502885860840592
Tmem117,0.502157838799369
AC165271.1,0.501325509687263
Msra,0.497621105441662
Vav3,0.497596884921366
Slc18a2,0.496266145431229
Fat3,0.493924760814621
CT025619.1,0.4907917774295
Ttc6,0.489393732196376
Dgkz,0.488236508626001
Nr4a2,0.488148515250868
Prkd1,0.486014234453045
En1,0.485708062774591
Fmn1,0.485580803303551
Gm21949,0.485238041294035
Garnl3,0.484968727268514
Igsf21,0.483611279155949
Bsn,0.483561081201261
Mcc,0.482396195464849
Ptprg,0.482343153851438
Rora,0.482238427974442
Esrrg,0.481289408438657
Gm16083,0.478108444277678
Cdh8,0.473759778512043
Atxn1,0.472906573384984
Cnksr2,0.472425201450355
Ubash3b,0.471388765996889
Grm1,0.470613716112049
Cyth1,0.468063025628692
Agk,0.465628076937938
Gpr158,0.459640386491758
Osbpl3,0.459168181142461
Sdk1,0.458950354935823
Cdk14,0.457416333388298
A330008L17Rik,0.457259223718309
Zfp462,0.45660213580403
Srgap1,0.455238571387447
Palmd,0.450738764088592
Lama3,0.450635307677679
Gm26873,0.44745109883451
Plcb4,0.446424805480224
Mirg,0.445453746751064
Ndnf,0.445379811608972
App,0.44214300967781
Gsdme,0.441510113251338
Prima1,0.441384554190201
Zfp804a,0.440382173836488
Ryr3,0.438816421400315
Rerg,0.438622076433048
Gbf1,0.437656353411384
Chrna6,0.436064326231286
Stk39,0.431711416260927
Lmx1b,0.430572877623793
Zswim5,0.428285492779562
Gab2,0.426543737974621
Syt7,0.426207505456997
Adamts6,0.424993607911139
1700042O10Rik,0.424983577695637
Atp2b2,0.423178512009707
Cdh10,0.422053037760194
Tigar,0.420948070495313
Igf1,0.420190172506692
Nlgn1,0.419560680755653
Ctnnd2,0.415407237014574
Colgalt2,0.415092265570591
Phldb2,0.414419461389216
Palm2,0.413586144151766
Ica1,0.413023363996594
Ncam1,0.413003722719735
Agpat4,0.412854269843781
Nectin3,0.412488105422866
Me3,0.409976996057699
Fam135b,0.409404828606224
Rasgef1b,0.40869664845031
Crhr1,0.408340829483625
Mir124-2hg,0.405642936033795
Mctp1,0.404994021111766
C230004F18Rik,0.403784878401963
Tox3,0.403387996840654
Ntsr1,0.403142547473698
Ano6,0.402476085295557
Cntnap5a,0.40150171641743
Gpr26,0.401437189310371
Cacna1d,0.401431182412951
Epha7,0.399871610655274
Aff3,0.399454666805351
Clgn,0.398523721495169
Pfkp,0.398103280697749
Glra3,0.396218704511096
Pde4d,0.394496225089755
Ppp2r2b,0.394330800071854
Osbpl9,0.393889079688872
Epha5,0.393799821450109
Homer2,0.393706046587567
Kank4,0.393456550095087
Wasf3,0.393354771528919
Myo6,0.39249951578258
Snx24,0.392451521703833
Ripor2,0.391775725313465
Cacna1a,0.391638214458681
9030622O22Rik,0.390766523275409
Ajap1,0.389059777740701
Sphkap,0.387826533826265
Grik3,0.387630783018842
Sema6d,0.387569917437072
Pigk,0.387178493701071
Syt1,0.38656929400068
Trpm3,0.385869999993425
Adcy1,0.385293190884565
Nell2,0.383251567858491
4921534H16Rik,0.382843087486318
Ubr4,0.38192705518529
0610040J01Rik,0.379851413877247
Ank1,0.378756283613258
Plcxd2,0.376659501007622
Srgap2,0.373220903165334
Itpr1,0.372380474911513
Rab3c,0.369827098460418
Pitpnm3,0.369467528848725
Dok6,0.369350441254242
Ttc14,0.368895123259583
Ctnna1,0.367848592329755
Psd3,0.366966291512141
Gpatch8,0.366915264027174
Rps6ka3,0.366887570720558
Prickle2,0.366799387939051
Lmo4,0.366794326758754
Tmem196,0.36499205776255
Osbpl11,0.364590227796571
L3mbtl4,0.364390107149601
Fam210b,0.362787814680561
Klhl13,0.362221099363674
3632451O06Rik,0.361987888621759
Bclaf3,0.361153329116709
Prickle1,0.360688599346538
Fat4,0.360345203354919
3300002A11Rik,0.359384347324149
AC149090.1,0.359245887572099
5330434G04Rik,0.359071933354129
Eps15,0.356049598217677
Specc1,0.354818902404391
Ctdspl,0.354381673459236
Rimbp2,0.354128623574937
Clybl,0.353881189735786
Gm45645,0.353571318016281
Qk,0.353319535819082
Tfdp2,0.353142470564637
Pbdc1,0.352684777069983
Mpp7,0.352625618483493
Slco2a1,0.352235183078997
Arap2,0.352123712746442
Kif21a,0.351678240227868
Sgip1,0.351062977509142
Slc10a4,0.350901696534111
Agbl4,0.350624058764459
Nrg2,0.349344111701491
Frmpd4,0.348667311880215
Pknox2,0.348144156911613
Acss2,0.344851319632494
2900011O08Rik,0.344222891228318
C230014O12Rik,0.344160058825706
Lhfp,0.343582751162609
Wdr44,0.342348398348279
Arhgap5,0.342157453112631
Spag5,0.341875753632458
Itgb8,0.341010247402316
Siah3,0.340725082288525
Rap1gds1,0.340222095505419
Wipf3,0.340212864230518
Mctp2,0.34013883666049
Etv6,0.338429459843194
A430106G13Rik,0.33822480672868
Naaladl2,0.338199244916837
Mboat1,0.338177060144184
Arhgap22,0.337659314679817
Cyth3,0.337367777377938
Arhgef28,0.335994504506559
Cpeb3,0.33588544125405
Pitpnc1,0.334964935579988
Ptar1,0.334905072678271
Nrn1,0.333811121704619
Lncbate1,0.333575168297723
Shtn1,0.333532829250896
Slco3a1,0.333427595414402
C78859,0.333249366139337
Gucy2c,0.333162687469283
Gm35501,0.333106856770161
Gm45881,0.332763134094862
Lnpep,0.332229268047406
Mmp16,0.331788604840899
Dip2b,0.329968754887891
Myrip,0.329457407419309
Ankrd24,0.329089709817141
Bmpr1b,0.328723611108496
Prkcb,0.327387181390383
Ablim2,0.327206426700881
Pcsk1,0.326291003801418
Nrcam,0.325706210889562
Cit,0.324381666096894
