"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Positive Regulation Of Mitochondrion Organization (GO:0010822)","3/58",0.00306619730639825,0.0336649498073623,0,0,11.1593252108716,64.5825541481917,"MOAP1;PINK1;VPS35","GO_Biological_Process_2023","blue"
"Central Nervous System Neuron Development (GO:0021954)","2/17",0.00320528834894988,0.0348329805268533,0,0,27.0544217687075,155.372278725068,"HSP90AA1;HSP90AB1","GO_Biological_Process_2023","blue"
"Response To Ethanol (GO:0045471)","2/18",0.00359423711737408,0.0378996290099346,0,0,25.3622448979592,142.749455625051,"TH;SOD1","GO_Biological_Process_2023","blue"
"Lysosomal Lumen Acidification (GO:0007042)","2/18",0.00359423711737408,0.0378996290099346,0,0,25.3622448979592,142.749455625051,"ATP6V1A;ATP6V0B","GO_Biological_Process_2023","blue"
"Negative Regulation Of T Cell Receptor Signaling Pathway (GO:0050860)","2/18",0.00359423711737408,0.0378996290099346,0,0,25.3622448979592,142.749455625051,"PRNP;THY1","GO_Biological_Process_2023","blue"
"Positive Regulation Of Mitochondrial Fission (GO:0090141)","2/19",0.00400404563880334,0.0414010544206365,0,0,23.8691476590636,131.768436654952,"PINK1;VPS35","GO_Biological_Process_2023","blue"
"Regulation Of Autophagy Of Mitochondrion (GO:1903146)","2/19",0.00400404563880334,0.0414010544206365,0,0,23.8691476590636,131.768436654952,"PINK1;VDAC1","GO_Biological_Process_2023","blue"
"Long-Term Memory (GO:0007616)","2/20",0.00443449984753605,0.0454109840156336,0,0,22.5419501133787,122.139959975335,"PRNP;PJA2","GO_Biological_Process_2023","blue"
"Regulation Of Protein Kinase B Signaling (GO:0051896)","4/136",0.00484706655334842,0.0486255834589465,0,0,6.23989898989899,33.2548028088382,"HSP90AA1;PINK1;HSP90AB1;RTN4","GO_Biological_Process_2023","blue"
"Negative Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000378)","2/21",0.00488538725831669,0.0486255834589465,0,0,21.3544575725027,113.63788950908,"PINK1;SLC18A2","GO_Biological_Process_2023","blue"
"Chaperone-Mediated Protein Complex Assembly (GO:0051131)","2/21",0.00488538725831669,0.0486255834589465,0,0,21.3544575725027,113.63788950908,"HSP90AA1;HSP90AB1","GO_Biological_Process_2023","blue"
"Regulation Of Heart Contraction (GO:0008016)","3/69",0.00500440096029744,0.0493489539140442,0,0,9.29428303655108,49.2358840662501,"TH;CALM3;CALM1","GO_Biological_Process_2023","blue"
"Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880)","2/22",0.00535649695773258,0.0509345469641536,0,0,20.2857142857143,106.083028567318,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Positive Regulation Of Protein Autophosphorylation (GO:0031954)","2/22",0.00535649695773258,0.0509345469641536,0,0,20.2857142857143,106.083028567318,"CALM3;CALM1","GO_Biological_Process_2023","blue"
"Natural Killer Cell Mediated Immunity (GO:0002228)","2/22",0.00535649695773258,0.0509345469641536,0,0,20.2857142857143,106.083028567318,"TUBB2A;TUBB4B","GO_Biological_Process_2023","blue"
"Negative Regulation Of Axonogenesis (GO:0050771)","2/22",0.00535649695773258,0.0509345469641536,0,0,20.2857142857143,106.083028567318,"THY1;RTN4","GO_Biological_Process_2023","blue"
