"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.124111810067898,17.5279173998189,0.99157166724949,5914.07470834887,5914.48872922667,6261.43769557507
2,0.0638371404508738,-5.77174590390916,0.941846841746119,3057.03923396745,3046.85053229512,3528.06903857292
3,0.504100535675009,-10.3692684535691,0.917146336023794,1617.08599958925,1601.24768444733,2093.13608185534
4,0.719489527144631,-9.22027280542636,0.92897178517344,874.256053039122,858.535624901986,1301.6256357494
5,0.850006869160685,-7.97306955987047,0.956665659554723,482.596669436263,468.826211376455,842.970667754822
6,0.895300377188399,-6.6967960997498,0.968200500688068,271.784016338511,260.551359834257,565.664907776142
7,0.931667723399569,-5.72109370419099,0.979094961963385,156.056716808053,147.33498328989,391.653684445549
8,0.954145853352552,-5.043092686522,0.987705476197728,91.3155697985566,84.5615322621169,278.745510408469
9,0.968060582760907,-4.51096427329066,0.992043903920817,54.4310133904471,49.238349941651,203.24451294883
10,0.974868246088488,-4.1043557652546,0.99608139151365,33.0418878761129,29.0476626206244,151.371422759539
12,0.972230664453809,-3.52957117703314,0.991069792421346,12.850628404304,10.4899602092971,88.5815540824124
14,0.976616415290326,-3.04781701686726,0.990876655606398,5.36620592893894,3.95297311463331,54.9156571679674
16,0.968139240846254,-2.73257823668023,0.983144758239074,2.40405123791463,1.55487327470402,35.6115960839212
18,0.973346219121456,-2.45405802211182,0.991527193391856,1.15399512905313,0.629690623642364,23.9322117205135
20,0.959984874683455,-2.27814795301042,0.982176008656195,0.592173949520349,0.264116435059268,16.5540910432379
22,0.95381112037893,-2.12215923973391,0.980309826823272,0.323677103213552,0.114203147145571,11.7265845799594
24,0.951176598542328,-1.96439027297111,0.970474462109848,0.187542943577813,0.0506651993656262,8.4751451571764
26,0.937752272231263,-1.83772097106698,0.941803915721156,0.114545759245124,0.0229157734489168,6.23147753074307
28,0.94361592822461,-1.72914857276944,0.93915452110972,0.0733157645984176,0.010592478677277,4.74823328004079
30,0.952836508766154,-1.70447978657174,0.953124170353554,0.0488990745488015,0.00501746254650215,4.23896078747682
