"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Neuron Development (GO:0048666)","5/150",0.000943057893910248,0.0318457708707719,0,0,7.17059891107078,49.9531375212897,"GPRIN3;LGI1;TENM1;MEF2C;FLRT3","GO_Biological_Process_2023","pink"
"Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062)","3/39",0.000972629455166433,0.0318457708707719,0,0,17.0652920962199,118.356459198027,"DPP6;DLG1;SCN5A","GO_Biological_Process_2023","pink"
"Neuron Projection Extension (GO:1990138)","3/39",0.000972629455166433,0.0318457708707719,0,0,17.0652920962199,118.356459198027,"SEMA5A;NELL1;FLRT3","GO_Biological_Process_2023","pink"
"Synaptic Vesicle Exocytosis (GO:0016079)","3/41",0.00112632746020299,0.0357256991283137,0,0,16.1654910472056,109.744172047573,"UNC13B;SYT10;SNCA","GO_Biological_Process_2023","pink"
"Neurotransmitter Secretion (GO:0007269)","3/43",0.00129454713089392,0.0394728685179954,0,0,15.3556701030928,102.108977171279,"SYT10;LIN7A;SNCA","GO_Biological_Process_2023","pink"
"Cell Junction Assembly (GO:0034329)","4/95",0.00132224387153876,0.0394728685179954,0,0,9.07005494505495,60.1201797011037,"KIRREL3;SDK1;FLRT3;ZDHHC2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Chemotaxis (GO:0050921)","3/44",0.00138425852269568,0.0401434971581748,0,0,14.9803872265527,98.6097568216037,"SEMA5A;NELL1;CNTN1","GO_Biological_Process_2023","pink"
"Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010640)","2/12",0.00158104510229119,0.0445766883007099,0,0,40.5918367346939,261.803918893847,"CNTN1;SNCA","GO_Biological_Process_2023","pink"
"Inhibitory Synapse Assembly (GO:1904862)","2/13",0.00186242805035638,0.0510532460018234,0,0,36.899814471243,231.947593213754,"GABRB2;GABRG2","GO_Biological_Process_2023","pink"
"Cellular Response To Organonitrogen Compound (GO:0071417)","4/105",0.00191135305228501,0.0510532460018234,0,0,8.16790429042904,51.130622502952,"GABRB2;MEF2C;SLIT2;GABRG2","GO_Biological_Process_2023","pink"
"Regulation Of Synapse Assembly (GO:0051963)","3/51",0.00212229630435684,0.0536158935961695,0,0,12.7912371134021,78.733346844315,"MEF2C;IL1RAP;SNCA","GO_Biological_Process_2023","pink"
"Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912)","2/14",0.00216576516004231,0.0536158935961695,0,0,33.8231292517007,207.504274169846,"MEF2C;SLIT2","GO_Biological_Process_2023","pink"
"Synaptic Transmission, GABAergic (GO:0051932)","2/14",0.00216576516004231,0.0536158935961695,0,0,33.8231292517007,207.504274169846,"GABRB2;GABRG2","GO_Biological_Process_2023","pink"
"Sprouting Angiogenesis (GO:0002040)","3/52",0.0022441220665619,0.0542329499419126,0,0,12.5295602777193,76.423312366036,"SEMA5A;NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Neuron Migration (GO:0001764)","3/55",0.0026353413771885,0.062206313903403,0,0,11.8049167327518,70.1063613055492,"NELL1;MEF2C;DCC","GO_Biological_Process_2023","pink"
"Regulation Of Receptor Recycling (GO:0001919)","2/17",0.00320528834894988,0.0701567437333595,0,0,27.0544217687075,155.372278725068,"KIF16B;SNCA","GO_Biological_Process_2023","pink"
"Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)","2/17",0.00320528834894988,0.0701567437333595,0,0,27.0544217687075,155.372278725068,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Positive Chemotaxis (GO:0050918)","2/17",0.00320528834894988,0.0701567437333595,0,0,27.0544217687075,155.372278725068,"SEMA5A;NELL1","GO_Biological_Process_2023","pink"
"Anterograde Trans-Synaptic Signaling (GO:0098916)","5/199",0.00325340143994615,0.0701567437333595,0,0,5.34617471513836,30.6231787075913,"UNC13B;GABRB2;DLG1;SYT10;SNCA","GO_Biological_Process_2023","pink"
"Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)","3/60",0.00337607395601961,0.0701567437333595,0,0,10.7666847531199,61.2736529352707,"KIRREL3;SDK1;CADM1","GO_Biological_Process_2023","pink"
"Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)","4/123",0.00339042739947073,0.0701567437333595,0,0,6.92612044817927,39.3874568402115,"SEMA5A;NELL1;CNTN1;SCN5A","GO_Biological_Process_2023","pink"
"Neural Crest Cell Differentiation (GO:0014033)","2/18",0.00359423711737408,0.0701567437333595,0,0,25.3622448979592,142.749455625051,"MEF2C;FAM172A","GO_Biological_Process_2023","pink"
"Endothelial Cell Proliferation (GO:0001935)","2/18",0.00359423711737408,0.0701567437333595,0,0,25.3622448979592,142.749455625051,"SEMA5A;DLG1","GO_Biological_Process_2023","pink"
"Vesicle-Mediated Transport In Synapse (GO:0099003)","2/18",0.00359423711737408,0.0701567437333595,0,0,25.3622448979592,142.749455625051,"SYT10;SNCA","GO_Biological_Process_2023","pink"
"Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)","2/19",0.00400404563880334,0.0725733272033105,0,0,23.8691476590636,131.768436654952,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Regulation Of Smooth Muscle Cell Migration (GO:0014910)","2/19",0.00400404563880334,0.0725733272033105,0,0,23.8691476590636,131.768436654952,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Axon Extension (GO:0045773)","2/19",0.00400404563880334,0.0725733272033105,0,0,23.8691476590636,131.768436654952,"SEMA5A;NELL1","GO_Biological_Process_2023","pink"
"Interleukin-1-Mediated Signaling Pathway (GO:0070498)","2/19",0.00400404563880334,0.0725733272033105,0,0,23.8691476590636,131.768436654952,"RPS6KA5;IL1RAP","GO_Biological_Process_2023","pink"
"Circulatory System Development (GO:0072359)","4/132",0.00436114226611561,0.0762884295804931,0,0,6.43619791666667,34.9808725640249,"MEF2C;FLRT3;ERBB4;PCSK5","GO_Biological_Process_2023","pink"
"Response To Ketone (GO:1901654)","2/20",0.00443449984753605,0.0762884295804931,0,0,22.5419501133787,122.139959975335,"TGFBR3;SLIT2","GO_Biological_Process_2023","pink"
"Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214)","2/20",0.00443449984753605,0.0762884295804931,0,0,22.5419501133787,122.139959975335,"GABRB2;GABRG2","GO_Biological_Process_2023","pink"
"Cellular Response To Metal Ion (GO:0071248)","4/135",0.00472233374393165,0.0798861458348438,0,0,6.28784987277354,33.674279209969,"MEF2C;SYT10;SCN5A;SNCA","GO_Biological_Process_2023","pink"
"Cellular Response To Calcium Ion (GO:0071277)","3/69",0.00500440096029744,0.0832699504049493,0,0,9.29428303655108,49.2358840662501,"MEF2C;SYT10;SCN5A","GO_Biological_Process_2023","pink"
"Regulation Of Dopamine Secretion (GO:0014059)","2/22",0.00535649695773258,0.0862991176523583,0,0,20.2857142857143,106.083028567318,"SYT10;SNCA","GO_Biological_Process_2023","pink"
"Blood Vessel Endothelial Cell Migration (GO:0043534)","2/22",0.00535649695773258,0.0862991176523583,0,0,20.2857142857143,106.083028567318,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Regulation Of Axon Extension Involved In Axon Guidance (GO:0048841)","2/23",0.00584761959206228,0.0914418791698826,0,0,19.3187560738581,99.3316462237063,"SEMA5A;NELL1","GO_Biological_Process_2023","pink"
"Positive Regulation Of Secretion By Cell (GO:1903532)","3/73",0.00585588388772647,0.0914418791698826,0,0,8.76141384388807,45.0363685681287,"UNC13B;CADPS;SNCA","GO_Biological_Process_2023","pink"
"Negative Regulation Of Protein Phosphorylation (GO:0001933)","4/149",0.0066747485612657,0.10264954226795,0,0,5.67672413793103,28.4371166854251,"PID1;GNAQ;SLIT2;SNCA","GO_Biological_Process_2023","pink"
"Positive Regulation Of Endothelial Cell Proliferation (GO:0001938)","3/77",0.0067890554235684,0.102829560483418,0,0,8.28615213151296,41.3681460172482,"SEMA5A;NELL1;CNTN1","GO_Biological_Process_2023","pink"
"Cellular Response To Hexose Stimulus (GO:0071331)","2/25",0.00688907400282997,0.102829560483418,0,0,17.6370896184561,87.7942327571282,"UNC13B;ZBTB20","GO_Biological_Process_2023","pink"
"Negative Regulation Of Protein Polymerization (GO:0032272)","2/26",0.0074389947886241,0.107842657658409,0,0,16.9013605442177,82.8338984204336,"SLIT2;SNCA","GO_Biological_Process_2023","pink"
"Regulation Of Cardiac Muscle Cell Contraction (GO:0086004)","2/26",0.0074389947886241,0.107842657658409,0,0,16.9013605442177,82.8338984204336,"DLG1;SCN5A","GO_Biological_Process_2023","pink"
"Regulation Of Protein Localization To Plasma Membrane (GO:1903076)","3/80",0.00754367358989859,0.107842657658409,0,0,7.96211005489356,38.9111981120306,"DLG1;PID1;ZDHHC2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Filopodium Assembly (GO:0051491)","2/27",0.00800810651058956,0.109840920381735,0,0,16.2244897959184,78.3204947866311,"TENM1;NELL1","GO_Biological_Process_2023","pink"
"Ventricular Septum Morphogenesis (GO:0060412)","2/27",0.00800810651058956,0.109840920381735,0,0,16.2244897959184,78.3204947866311,"TGFBR3;SLIT2","GO_Biological_Process_2023","pink"
"Regulation Of Catecholamine Secretion (GO:0050433)","2/27",0.00800810651058956,0.109840920381735,0,0,16.2244897959184,78.3204947866311,"SYT10;SNCA","GO_Biological_Process_2023","pink"
"Regulation Of Sodium Ion Transmembrane Transport (GO:1902305)","2/28",0.00859620747114401,0.114804612936989,0,0,15.5996860282575,74.1988795836398,"DLG1;SCN5A","GO_Biological_Process_2023","pink"
