"gene_name","module","color","kME_pink","kME_blue","kME_grey","kME_magenta","kME_purple","kME_green","kME_darkgrey","kME_darkorange","kME_red","kME_turquoise","kME_brown","kME_yellow","kME_grey60","kME_lightgreen","kME_cyan","kME_tan","kME_paleturquoise","kME_saddlebrown","kME_lightcyan","kME_orangered4","kME_white","kME_darkturquoise","kME_skyblue","kME_mediumpurple3","kME_salmon","kME_darkred","kME_black","kME_plum1","kME_orange","kME_midnightblue","kME_darkgreen","kME_sienna3","kME_royalblue","kME_greenyellow","kME_steelblue","kME_lightsteelblue1","kME_lightyellow","kME_yellowgreen","kME_darkolivegreen","kME_violet","kME_skyblue3","kME_darkmagenta"
"Xkr4","pink","pink",0.553538593898612,0.00460499752059137,0.176088038769732,0.269982531655134,-0.324504978301049,0.153621841433225,-0.0405082001257696,0.0743896562888058,0.226356141809437,-0.311371110444682,0.115222014289362,-0.0976391682893186,0.195580929488726,0.170233351782502,0.43277575708193,0.131954365229535,-0.0602520424392325,0.151947409404661,0.218158138159037,0.0292186773615865,0.0288201922346956,-0.0123814644630237,0.225700079477994,0.138656892859758,0.0176385661687097,0.163754717139115,0.0509781426190865,0.0619824302662033,0.384312933907449,0.209129919771935,0.278232351310032,0.0893882349197123,0.216498180419873,-0.124008241924746,0.126181074507743,0.313586912820727,0.159014267928684,0.0212298240735086,0.178653886728389,-0.352596687247731,0.206095993127075,0.130755391319143
"Gm1992","blue","blue",0.219407090842738,0.0602662264454072,0.0728976308338693,0.0789078730639817,-0.0821368869371652,0.119835055441404,-0.0415225549899989,-0.00163095555467666,0.0900888401161142,-0.149127728417173,0.114819491709986,-0.086437106727392,0.119941994606809,0.0566755152718082,0.170430790523859,0.0477232179349416,-0.0888355245181111,0.0475204639188143,0.0594812758447129,-0.00113768302062694,0.141468554909198,-0.0183571618549294,0.102362484112511,0.0342665782287631,-0.0525955755340114,0.0290428654958912,-0.0544790918490771,0.0791409292377417,0.14471354184898,0.0508621568591439,0.0366685819214792,0.0231612712458246,0.0582698873085682,0.00916628574890764,-0.00841652364960219,0.0793011862036774,0.0137857773799391,0.0325312294377831,0.0856563205742708,-0.121955626843978,0.0715333542762331,0.0527045360767796
"Mrpl15","grey","grey",0.0164150561831205,0.0397927515916099,0.0547505885693727,-0.0020800053957519,-0.0165855996891277,0.0285345315419224,-0.00921579537851638,0.0298814174057787,0.0133498291944918,0.0687752851900719,-0.00830997212492025,0.0204695031478868,0.0955196177566681,-0.00507382639059491,-0.00603779376904619,0.0310431754995823,0.0244794219980249,0.0785726286723553,-0.0245552155358523,0.0234646129361424,0.0449905761978113,0.0165475131043682,0.00325881702762551,0.0100424358313934,0.0128471483493505,0.0276551688416355,-0.00839103280235028,0.0769198830547137,-0.00610000651015102,0.0537590456310907,0.0249376944053777,-0.0361204547663984,0.0097396450778859,0.0337254455517997,-0.00819818666644106,-0.0351558605444923,0.014835990181143,0.0366624797626771,0.0708409267217375,0.0334003496328166,0.0461438700306723,0.00961116230409907
"Gm37988","greenyellow","greenyellow",-0.00840948176485388,-0.0123104372337259,-0.0593100437050341,-0.00171704533987708,0.00620384314923076,-0.0161783413149291,0.0253628260953481,-0.0847177921386825,0.0446469833837896,-0.0368428492719834,0.00530340891074073,0.00122513738977014,0.00285241875567742,0.0127235255663502,-0.0137197992542393,-0.0531609647666012,-0.00307735512505941,-0.00106894725133383,-0.00374444838407617,-0.0556744783639598,-0.0194791291871436,-0.0469645385362012,-0.0138516766191084,-0.00122751357178697,-0.00043021160439274,-0.0109514180577592,-0.0279752964022843,0.00845454062096465,-0.0170192115804298,-0.0141620969824751,-0.0479215892425963,-0.0538341506358159,0.0102693969615931,0.0544927149821779,-0.0813134178843903,-0.0328989671377908,-0.0195579103673924,-0.00829704678194163,0.0026177521888434,-0.0198124518790644,-0.0502570336498769,-0.0334856282611477
"Tcea1","grey","grey",0.020763615012907,-0.0155663315301698,0.0343427363260589,-0.00579514297641329,-0.00251229671912235,0.050432524233487,-0.0302483042958535,0.0564325423907854,-0.00274255198682833,-0.0785826377120915,-0.0132559740658947,-0.0148427998393081,0.0242924497232428,0.0384004342081749,0.0504604793139228,-0.0292244175170262,0.0044992515710064,0.0123703459781834,0.0269527743959313,-0.00709433806997863,-0.0432625247136333,0.0348920275557168,0.0210085154099158,0.0250981347686613,0.0262594496908671,0.0244326661835545,-0.0116225312930512,0.0256695784628259,0.0295613872057365,0.00757721494179997,0.0324868131495665,-0.00558375306388434,0.0451432784826476,-0.0572161408304673,-0.00610407113452314,0.0111466056802855,-0.0210775768677604,0.0353399014572148,0.00791938650917159,-0.00872856039407827,0.00767565153787808,0.0597739173756064
"Rgs20","purple","purple",-0.107699307070483,-0.0678180627766093,0.196778000261925,0.0667525153916057,0.262187899496463,0.163242759089416,-0.0538835972771107,0.0192666023002528,-0.00232596776741596,-0.102840627651822,0.0948034853098555,0.235972873039748,-0.162432404135078,0.162969815462651,0.0652825742340956,-0.041095852981608,-0.0425578744663681,0.106820465850458,0.249038036808281,-0.0282891864833758,0.053505230318136,-0.0870922496319625,-0.0370015419899303,-0.0780959268332199,0.0767918545705309,0.0221263815657093,-0.0122282044417602,0.0287616394740138,-0.00631814794692699,-0.242710730980155,0.0135837449548773,0.0277355700701421,0.0112782304530961,-0.0243883719433117,-0.00537095465644166,-0.036736632418674,0.140553264187186,0.0576695776143245,0.0810502124040047,0.167114003862581,-0.205612031225373,-0.0176601093204825
"Atp6v1h","green","green",0.0258959597230456,-0.0283144811252454,0.165543891712026,0.129981402043988,0.10949521928813,0.177538445329038,0.00678031421346876,0.0757528851799358,0.0749902241695324,-0.0358208948220553,0.0958302059649696,0.05314424693976,0.0231624201180792,0.0605350839372245,0.109134335421916,0.089312757269577,0.0459171323026356,0.0808713259080232,0.109138518793137,0.077830452571283,0.0571058272187374,0.0324150968442041,0.0914743601085978,0.04625803158471,0.0820873630730313,0.0531096978546952,-4.26430029980047e-05,0.0569652129078637,0.0123952594807142,-0.0466119337443337,0.0787334394917459,0.0657575176080128,0.0685562779930435,-0.0126325846041221,0.0698519142600099,-0.0354615025428592,0.0993459374212232,0.0425300530716009,0.0922315453404849,0.0625443624407697,0.00248418601892303,0.117001958182829
"Oprk1","purple","purple",-0.0544458918815261,-0.0204910601555823,0.23219321364768,0.0921233069200674,0.450891659550439,0.101048355751196,0.143880492713156,0.154564515206931,-0.0396190871553023,-0.0212640034959328,0.348557702105808,0.0606007148514666,0.0147341716833224,0.186019428385138,-0.110464990807979,0.0551121869778082,0.0241150509576831,0.0495678005506268,0.0360184186729997,-0.00598401707664695,-0.021799810044976,-0.141709481478544,0.113873431931477,-0.0230184571626023,0.0614331847148478,0.0620281423288587,-0.390153388062084,0.252588399074143,-0.00576484244709173,-0.337603404902879,-0.0624152882625822,0.00551948730896314,0.128755538443561,-0.0201057045176655,0.0146819895472604,-0.19871882469978,0.11866137055412,0.160187426434587,0.00810624045551718,0.276158027786538,-0.255088303566328,-0.0120817458564116
"Rb1cc1","magenta","magenta",0.0711022887806727,-0.0413393836922926,0.145691994260873,0.143703520480208,0.0370288296036748,0.0785805074851612,0.0516943472572821,0.089360204421751,0.0636418646031194,-0.0220548975308993,0.0723290310388364,0.054803894459142,0.0493380016012978,0.0471784026596043,0.0992996563288893,0.00928173456262977,0.00270268773599467,0.125132254789798,0.0751261782085641,0.0848518351836746,-0.0331236368563401,-0.0298178457796236,0.120905338743434,-0.00386252631175153,0.0484387889991113,0.0241293062518765,-0.0062123134109051,0.0833754921572596,0.0450601116278264,-0.00154394413178289,0.0695500952242176,0.0467671413746261,0.0968120537434957,-0.0573326299260133,0.0630287368638331,0.0180068378572367,0.0594813696039329,0.020237904076099,0.0985952850306752,-0.0138873994166359,0.0136854750694584,0.0858164757141034
"4732440D04Rik","blue","blue",0.0603440152749042,0.0942797249265748,0.0756020714151771,-0.00291466040064301,-0.0440839712328284,0.0816004027642253,-0.0354356872340212,0.0269316767295114,0.0551976431266215,-0.0172230103891233,-0.0325152077780938,-0.00163143429387183,0.0238114226608954,0.000927379542214775,0.116831001930068,0.0428185539038106,0.0677992072820778,0.0703771123427427,0.038424491040861,-0.00440968741167,0.0575257864129021,-0.00801081932955017,-0.0143934565434089,0.0291707006472232,0.0459128783011866,-0.00753979539584029,0.0825665950822896,0.00530431303388813,-0.0116412511063391,0.0809977772268621,0.0357553033542483,0.0620767073751781,0.0395074390357755,0.0569097267191322,0.0556068321829224,0.0407200587330553,0.0176830944822925,0.0236445221006858,-0.0142633986238787,-0.0666443493148703,0.0560519576234963,0.0718483011113393
