"gene_name","module","color","kME_purple","kME_grey","kME_green","kME_greenyellow","kME_black","kME_blue","kME_yellow","kME_turquoise","kME_tan","kME_brown","kME_magenta","kME_red","kME_pink"
"Xkr4","purple","purple",0.360002898016456,0.125197718098938,-0.129225155262019,0.217552079020271,0.0637337793565611,0.129878920781886,-0.0868144558396035,0.158593354201216,0.0364225872703989,-0.0989950232543231,-0.157764313916758,0.204799900805007,-0.0256118586794934
"Gm1992","purple","purple",0.22748053215469,0.10637077174551,-0.129577618643293,0.124636182000736,-0.0497755725244779,0.152293165749036,-0.0498070635354193,0.0732816562227764,0.038276067731878,0.0168183402709941,-0.0995010646667088,0.189124771744743,0.0479039001529122
"Mrpl15","grey","grey",0.00781846618850216,0.0434249473167999,-0.0348312805074752,0.00506358082950875,-0.0531709231827692,0.0243913085094098,0.0168910147679727,0.0142762076552639,-0.0132182367366828,0.104899439697634,-0.00407124438751396,0.0315266654791561,0.035415009017851
"Gm37988","grey","grey",0.00338698576960633,0.0406730509760041,-0.014955093291464,0.0097289955115127,0.00488435057168706,0.000186129592936253,0.0147984648726036,0.0268111624556094,-0.0132905904879684,0.0409660792305044,0.00359183205395149,0.0219191339723676,0.0163671240598063
"Tcea1","grey","grey",0.0244431682975011,0.00593766314016612,0.0520203527086649,0.0141425440403501,0.0576280244921555,-0.000829695703635388,-0.0422878273495826,-0.012948816707513,0.0284085820238185,0.00873856231985496,-0.0152014715312029,-0.0164581848175631,-0.0282148742976046
"Rgs20","green","green",0.0911600574135604,-0.109448323270557,0.396110610879512,0.105069660912018,0.300417021444653,-0.0414312247478379,-0.25084454945385,-0.116226819461542,0.186252894073038,-0.158413677861874,-0.0547431501820656,-0.152376761451888,-0.239294866381444
"Atp6v1h","grey","grey",-0.0265940315874265,0.0901161237768175,0.117160007436557,-0.00230277514491231,0.0979219050241023,0.0279269323196592,0.0252566789814221,0.00188764399296004,0.0657675491182183,-0.0306766513297707,0.0877494517179966,0.0124994826653108,0.0496882561833449
"Oprk1","greenyellow","greenyellow",0.307089463371215,0.305285510973398,-0.286002016120282,0.510480679897121,-0.120404292711214,0.0816181652632826,0.0015981322951587,0.30354902465415,-0.150730429155364,0.0251265341519741,-0.259065625532849,0.405924586123049,0.0480345166554083
"Rb1cc1","black","black",-0.0245485668550641,-0.00205832941253984,0.169018735445314,-0.0502646855187345,0.186964725735992,-0.0266714384820536,-0.00421551630835106,-0.033484710086178,0.0695602526111408,-0.103383143654372,0.116305404924081,-0.092192677090454,-0.0324791399337717
"4732440D04Rik","grey","grey",-0.0787495635361856,-0.0810026063484513,0.130040438724748,-0.105527659729241,0.0477178587951302,-0.0286485846171128,-0.0019936824637829,-0.0977070444528568,0.0589005400932073,-0.0293712463597673,0.0774680935511652,-0.116462004628303,-0.0149721320859657
"Pcmtd1","greenyellow","greenyellow",0.222997379349222,0.18168204554601,-0.171441365320931,0.278535479060521,-0.0194370746202765,0.0671077859298631,-0.0123429519165004,0.188876527294649,-0.0630494500975606,0.00405847318990547,-0.143575326463247,0.218862025337047,0.0184309213067068
"Gm26901","blue","blue",0.0871044180719257,0.141448968447678,-0.0888591012548948,0.0765433463232439,-0.0798626681580133,0.131794219145598,0.0349114936621547,0.036935130836152,0.0362711323754083,-0.0122146569577766,-0.0114005026403494,0.159057609234087,0.134263488862126
"Sntg1","yellow","yellow",-0.0303463401883994,0.418728635109551,-0.27166923350149,0.0947408225833308,0.00716628547228167,-0.00599247232024265,0.448865123996289,0.347489793590856,-0.225627880392145,-0.0474649510950837,0.236181470850558,0.272305353036574,0.374405966316635
"Rrs1","grey","grey",-0.00950932775412657,-0.000959406674284725,0.0262255420532346,-0.0187238834247422,0.000574170308305402,0.00739044719151814,-0.00329740631420617,-0.0185824823523138,0.0227207213520493,0.0192805792693985,0.0111148951614517,-0.00945974234269728,0.00680601028166264
"Adhfe1","grey","grey",0.0208451194075621,0.000172399472451378,0.0349652555489592,0.00025215818784642,0.0401453332794149,0.00756106578586406,-0.0287454898611017,-0.0105408655302778,0.0343044715069465,-0.0237980925799929,-0.0123895719415329,-0.0125132277188936,-0.0197957056725978
"3110035E14Rik","grey","grey",0.0353318808969927,0.0326370503593779,-0.061978520401745,0.0669409773834405,0.0138285333255864,-0.0374757067482509,0.00116567090003025,0.0808016823617571,-0.0716421037302509,0.0765979406437115,-0.0611709943064046,0.0270007109714777,-0.0257569049904054
"Mybl1","grey","grey",0.0517028033938868,0.00661846634806783,0.0208873012893342,0.0272822459022117,0.0484722036005557,0.0203942135338944,-0.044542140794688,0.00615690990286608,0.0329454288383899,-0.0140234327831858,-0.0254780285834066,0.015054896101151,-0.0388761274439644
"Vcpip1","grey","grey",-0.018788870675612,0.0712452368600833,0.0166686027737686,-0.0011990189353005,0.0555306360108398,-0.00493148950114746,0.0513562530553005,0.0374442102206024,-0.00648500068173999,-0.0368248262020215,0.0614369891828129,0.0112340816481451,0.0502171813622711
"1700034P13Rik","grey","grey",0.00235015441571824,0.0346029647216214,-0.03017330041814,-0.00264696280440216,0.00914775499843121,-0.00358126796520979,0.000968965926131556,0.0443460937360928,-0.0248787291639466,0.0224954801539878,-0.0247512184006144,0.0285067674415346,-0.00829556981247652
"Sgk3","yellow","yellow",-0.249212837756882,0.133734596477366,-0.0652267645894735,-0.173784360168513,-0.0317505726293367,-0.0379743724654389,0.333253817739001,0.0554234341550531,-0.101702021481267,-0.0192294614177736,0.300759622092575,0.0094289938611847,0.284781709391112
"Mcmdc2","yellow","yellow",-0.0699482347971583,0.0813115069832312,-0.0540890910635783,0.0250639023479965,0.0512370265836815,-0.114955487055027,0.139949954173422,0.134649849593773,-0.14950899018555,-0.0140961267815134,0.0541185492407522,0.0015785247125715,0.026140110039767
"Snhg6","grey","grey",-0.00219144849058984,0.0278707409842181,-0.00916151587502526,0.0126151228270995,-0.0105552852694931,0.00221262923299742,0.00724675730747477,0.0212792099801501,-0.0109753081538613,0.026635600346417,-0.00108897137963004,0.0232429813038845,0.0104240034279121
"Gm15818","grey","grey",0.038669458387444,0.0303990459144105,-0.0273712095711688,0.0237506814505569,-0.0558096442456453,0.0735502074823373,-0.0219095085421957,-0.0153580365050165,0.0295214068186341,0.0407052263631163,-0.0273383471441621,0.0533613337794057,0.0304247603243782
"Cops5","grey","grey",0.0114947073157279,0.122136682309635,-0.0872164996891066,0.0246376707946087,-0.0284709568272344,0.0150888749067569,0.0915307344822291,0.0891407226124475,-0.0499059216591622,0.0610304824005982,0.0315545601173674,0.0873627225992558,0.0832799186647706
"Cspp1","turquoise","turquoise",-0.0104809044319464,0.231045818765831,-0.135522014522032,0.099658163155695,0.064309563740256,-0.0623664422169805,0.201889028140695,0.237874525369193,-0.169163856872022,-0.0573778854849474,0.0806284195023758,0.130519336321616,0.125433073284646
"Arfgef1","grey","grey",0.0306555437774352,0.124536492453636,-0.0342432296020881,0.0370267987450754,0.0632336427109873,0.0137758434361214,0.0793322067184997,0.0981129366716638,-0.025533384242638,-0.0228033557708911,0.0605708719842155,0.0770155879225416,0.0781110753487688
