"gene_name","module","color","kME_red","kME_brown","kME_blue","kME_grey","kME_yellow","kME_black","kME_turquoise","kME_pink","kME_green","kME_magenta"
"Xkr4","red","red",0.334817464703527,0.276621238171243,-0.0767494502504478,0.12416140803314,-0.100918600814331,-0.107541577442455,-0.0931791552311594,0.203232776651311,0.196270226584506,0.331871482676772
"Gm1992","brown","brown",0.207144784127519,0.246800392701534,0.0476291623804628,0.133250624498533,-0.133906474761793,-0.147523852123848,-0.0618781400937862,0.115360321207949,0.19838728202757,0.159319772985751
"Mrpl15","blue","blue",0.0493959525730423,0.0184408712515315,0.11586147248111,0.0616501349270351,-0.0814355858739499,-0.0497125101028369,0.0271677307456044,-0.0450947960667921,0.0600798863452941,-0.0114032155641421
"Gm37988","grey","grey",0.0232481522754458,0.00989198609625258,0.0630264666126455,0.0535606144502495,-0.0410788956270677,-0.0128342717876752,0.0250922042575155,-0.015369125788301,0.0436150192471846,0.0099060571383751
"Tcea1","grey","grey",0.000547578935522654,0.0103257053767288,0.014566673214804,-0.0302344180100933,0.0605310804733566,0.0122768182216359,-0.0552341248605104,0.0502109426082675,-0.0453466783652447,0.00375002512944062
"Rgs20","yellow","yellow",0.00820660099461381,0.00764479179296894,-0.208375669494892,-0.265875824736598,0.519076444428307,0.186347693287032,-0.330004620248039,0.348848649593668,-0.356076068772376,0.176917443495564
"Atp6v1h","yellow","yellow",-0.0635315721699991,-0.0076279811602076,-0.0456649856570453,0.0768762975668918,0.155422533399184,0.143398759986034,0.0151011307349533,0.0569544595502515,-0.00117179521148956,-0.0253888715705782
"Oprk1","brown","brown",0.297005285365442,0.257620611217688,0.0648198310787191,0.247394256184009,-0.258500635812194,-0.206508297477117,0.00661345821628315,0.0152574545011641,0.316422533106422,0.120649309040195
"Rb1cc1","yellow","yellow",-0.0729966539876223,-0.0744606650401499,-0.132490877664764,-0.0169195624511086,0.224337908139967,0.215880008824088,-0.00266630921948995,0.0620412657316412,-0.109985251936795,-0.000738832922944344
"4732440D04Rik","black","black",-0.079792982942611,-0.0883459720742951,-0.0393424521120533,-0.0591693345494315,0.142675536037129,0.116604323227205,0.000763628835522937,0.0174397960467796,-0.116877676554844,-0.0155998652213689
"Pcmtd1","red","red",0.199505479019022,0.170205834695993,-0.00266951621641563,0.147495195682978,-0.131164191260168,-0.0984322427938122,-0.0072900686525124,0.0566876575817884,0.1783860205546,0.152391491157414
"Gm26901","grey","grey",0.0150219244621583,0.106270084212525,0.00590707973025322,0.149386722120985,-0.121991601234248,-0.060464144779079,0.0452513040263978,-0.0142169673800379,0.155322515504251,-0.0415360282613599
"Sntg1","turquoise","turquoise",-0.000254316397408543,-0.0971391356998152,-0.0270763274472128,0.516262957676953,-0.359441618200362,0.16366247000367,0.565820653111594,-0.380094043279028,0.460379121233977,-0.203257073069267
"Rrs1","grey","grey",-0.00891358062061634,-0.0141408988961458,0.02336151678688,-0.0124260454612615,0.0355898459478642,0.0216972335103071,-0.0126152934700029,0.00292378599825709,-0.0393728006695211,0.0101959909095425
"Adhfe1","grey","grey",0.0025257793965453,0.0115932958074769,-0.039637738707514,-0.0188731168896505,0.0507344900955245,0.0038809900526653,-0.0399724773425503,0.0405611322889463,-0.0305050281678555,0.0098568406367831
"Mybl1","grey","grey",0.0305146318110362,0.0579138039230513,-0.0192197647795332,-0.0284312774593075,0.053000259845658,-0.00285488062235381,-0.0729228995277407,0.0870889631217412,-0.0251228080473921,0.0315956242568152
"Vcpip1","grey","grey",-0.0173427565684483,-0.0174115740976698,-0.0491237097517424,0.0662723784656783,0.00834233407376878,0.0718294594105779,0.059192230948733,-0.0276542714735309,0.0316450091673402,-0.0277949512940341
"1700034P13Rik","grey","grey",0.0177041870701364,0.0338052206530357,0.0140209116125068,0.0139011281706073,-0.0143275449458777,-0.0175006939738618,-0.0158516725808209,0.00812624173917037,0.0174350657222847,0.00232896503966305
"Sgk3","turquoise","turquoise",-0.155405805767598,-0.183717262806065,-0.00403683407896471,0.227004014465356,-0.135183576286228,0.161751698564692,0.355153830881517,-0.286250183314741,0.168321588652338,-0.235792358427495
"Mcmdc2","turquoise","turquoise",-0.0317448346614479,-0.145918670734159,0.0116024355891664,0.092944374500147,-0.0481732383087124,0.112377726737435,0.199732051896757,-0.188611909750225,0.0447414579802175,-0.108031943427384
"Snhg6","grey","grey",0.0105286068997642,0.00307693772025735,0.0518914386865303,0.0159275984241363,-0.0214525734472878,-0.0205236197630018,0.00363843329896748,-0.0243075643815081,0.0205828733393495,-0.0231346561770727
"Gm15818","grey","grey",-0.00681042463592767,0.0718697026539506,0.0129700466595934,0.0209146111354526,-0.0241223492472424,-0.0623209966851677,-0.0290695207638872,0.0288720900388332,0.0319796991021445,-0.000518282073898206
"Cops5","grey","grey",0.039607679775823,0.0267835453427136,0.08146727113594,0.179760075769505,-0.113193734525414,-0.00530917973628561,0.127474420582585,-0.0886418507123444,0.153690309865026,-0.0338500934465573
"Cspp1","turquoise","turquoise",0.0143453651910039,-0.063737340661833,-0.0619200910146237,0.254092026907168,-0.123438574953242,0.138436557007801,0.266386066323344,-0.170545873402019,0.196969784230894,-0.0668898974797474
