"gene_name","module","color","kME_pink","kME_grey","kME_black","kME_magenta","kME_turquoise","kME_green","kME_blue","kME_brown","kME_yellow","kME_purple","kME_salmon","kME_red","kME_greenyellow","kME_tan"
"Xkr4","pink","pink",0.341210703107917,0.0546790981802945,-0.42199612100708,-0.149498540036623,-0.122555060263047,0.0558844918988394,0.196172214019566,-0.119137085691094,0.0657473538360442,-0.165142614869427,-0.106337861332826,-0.000432892346180084,-0.381458230196396,0.344724018379942
"Gm1992","grey","grey",0.132884592876402,0.0386094890486403,-0.140518045202916,-0.0225975842238817,0.0183499374806883,0.0487084969144967,0.0307004110893638,0.00890530229355077,0.024989023318212,-0.0803069307315375,-0.0810734088191873,-0.00552572882066114,-0.133515595363617,0.179555820668973
"Mrpl15","grey","grey",0.00577419927075657,-0.00620935305417558,-0.00124154662744634,0.0127230730109569,0.010799032052658,0.0283303452764936,-0.014439070899655,0.0714527746613767,0.0441273843681444,-0.00844824069685186,-0.00862725260564389,0.00173190169465077,0.01032587584565,0.0133224662411938
"Gm37988","grey","grey",-0.00151436456473546,-0.00576585613612964,0.00739514350334987,0.00616861450697737,-0.018482373313401,0.00271844280318546,0.0134428091521297,0.0580705932150455,0.0487960660093382,0.0128282865842985,0.00971671483818951,-0.0089050608542993,0.00698637861531948,-0.0373508553545022
"Tcea1","grey","grey",0.0375577886888777,0.018341414796321,-0.0292396159280693,0.00115452856161633,0.0153621963885705,0.045639237057847,0.00360845606933265,0.0136685937879982,-0.00627476758906096,-0.0192469017422092,-0.014770865628118,-0.0148319947884288,-0.0321552348823059,0.0234478910937151
"Rgs20","black","black",-0.00282843147461317,0.14395271231193,0.202137205647517,0.16886878675875,-0.0678957672536751,0.0629180531315076,0.128637073429648,-0.0642709612986958,-0.0320771947030971,0.244134900805336,0.128635340929532,0.0229358424247601,0.204138875160913,-0.161572799639141
"Atp6v1h","grey","grey",0.0183248793391069,0.122782217872531,0.0626568154746001,0.077090637183577,0.0145844159252703,0.0392062920306652,0.0492488934206409,-0.00484140785823613,0.0073632063216532,0.0814854115055055,0.0340774096724867,-0.0295284827877336,0.0345694641638322,-0.0290942919388386
"Oprk1","magenta","magenta",0.0736415506940865,0.071319749813571,0.370307405443389,0.490777223656748,-0.0237247826657248,0.247282046286899,0.0660469887458235,-0.0684387829478843,-0.0608794429023877,0.402480514522756,0.00382176673458888,-0.311405510019928,0.136900511803911,-0.226061090802504
"Rb1cc1","grey","grey",0.0656806381440877,0.133788074968707,-0.0145220775397288,0.031281425127526,0.0320664083383472,0.0642361243475334,0.041157678746357,-0.0362671288989714,-0.0325941672561655,0.00848817859137234,0.0117984798282457,0.00402666988839477,-0.0150413744802425,0.0410783043959733
"4732440D04Rik","grey","grey",0.0497618728411238,0.0413741013668283,-0.0203608426707106,0.0184071653014211,0.0245300847853284,0.0507814054045749,-0.00171105635150364,0.00987767215966546,0.0337915673822228,-0.0103686749640498,-0.0340387453518057,-0.0133295267312414,-0.0327930002504398,0.0526691719160396
