"gene_name","module","color","kME_yellow","kME_grey","kME_turquoise","kME_blue","kME_red","kME_black","kME_green","kME_brown","kME_pink"
"Xkr4","yellow","yellow",0.476327693893441,0.129401023385386,0.310871568411284,-0.2846217796228,0.143649286517219,0.21774062402333,-0.177231738344095,-0.431012345267787,0.157459012248225
"Gm1992","yellow","yellow",0.334800407005928,0.0657357452327921,0.138230042801304,-0.113365128013359,0.036011019523553,0.093640768819347,-0.154268026046414,-0.258174244395591,0.0499809639771859
"Rp1","grey","grey",0.0433469731589971,0.0245432678281847,0.0340627894616936,-0.0111196157300255,-0.0202038756521917,0.0113315307245905,-0.00770558468864995,-0.0279603408353208,0.00613361988589609
"Mrpl15","grey","grey",0.0216772258407568,-0.0158963745627644,0.037312257991634,-0.0339706823756395,-0.00755733191407925,0.0224351411625737,0.0469799505149094,0.0270937480411277,0.00775573339903057
"Gm37988","grey","grey",-0.0390045241959176,0.0549956124927084,-0.109844968095943,0.118696674413522,-0.0297785011772141,-0.0633339304757773,-0.0333403581788673,0.0797445908766106,0.00547048290643193
"Tcea1","grey","grey",0.0512313564404055,0.0916294934501561,-0.0289709839964507,0.0456879299778674,0.0309652459451262,0.018672458342887,-0.0776337466638549,-0.0400860723263719,0.000757234892314271
"Rgs20","grey","grey",0.191105817728642,0.0785045752299474,0.136039395162461,-0.129699402946729,0.132626273754632,0.0417574651416832,-0.0373861631017931,-0.176474313647088,0.172322179783991
"Atp6v1h","grey","grey",0.163884710188077,0.204965457129027,-0.0690129426242189,0.116156863329461,0.0297017276220393,0.000319459372737149,-0.152088611402161,-0.0735899421136048,-0.0652663730542468
"Oprk1","turquoise","turquoise",0.146242615436728,0.0893241979157176,0.181951053931008,-0.199944816395494,0.268101997051056,0.254736698666388,-0.0231301831138227,-0.148138344953095,0.0418809400826295
"Rb1cc1","grey","grey",0.0326890615459006,0.0618590452344736,0.0280028982907445,0.00155876855653229,0.0235925052677634,0.0141151089595449,-0.000589516748431125,-0.00348506878201275,0.00188844872953879
"4732440D04Rik","yellow","yellow",0.0950398152089721,0.0277821804119378,0.0296445219277476,-0.0153141908295461,0.0107986849293084,0.0323073364606503,-0.056949206633902,-0.0685588628648961,-0.0429122363597449
"Pcmtd1","yellow","yellow",0.235900955373433,0.160647203933439,0.0714803007195404,-0.0520223855004428,0.167663009792027,0.193380813923397,-0.167281610816304,-0.207475990436463,-0.0719322180730062
"Gm26901","grey","grey",0.112686338395518,0.0343179460441424,0.0724846235737144,-0.0471071339012112,0.0149358987938804,0.0291163987948644,-0.0212644110620898,-0.0750332472082541,0.0934484699900982
"Sntg1","blue","blue",0.298902265581016,0.375764440480681,-0.201870742861398,0.322907751169082,-0.0190334390205556,-0.074816382497616,-0.363125308841727,-0.210069864529076,-0.0140670871116943
"Rrs1","grey","grey",0.0419376086468267,-0.00546936508917782,0.00460082043316003,0.00836763779400047,-0.00106195322876397,0.0174457348352594,-0.0288863710201637,-0.0286993800680466,0.011919497792876
"Adhfe1","grey","grey",0.0341510760460135,0.0260712193008045,0.00634497080776436,0.00613375871727471,-0.000874116744497327,-0.00874944026425554,0.0162069083286362,0.0277421743737086,0.00218873266706496
"Mybl1","grey","grey",-0.0136981239014971,0.00386874013624943,-0.00521834922535404,0.0187615249386767,-0.00789722020272834,-0.0163671453616123,0.0194796013231159,0.026261403952148,0.00478613153639774
"Vcpip1","grey","grey",0.027035029140449,0.0619531858690754,-0.0174590805291922,0.0294554139215735,0.0369139421758087,0.02970607169476,-0.0312883223068572,-0.0206783541126568,-0.0313827875719679
"1700034P13Rik","grey","grey",0.0231614114505024,-0.033139705653594,0.0511971718264767,-0.0450437582343767,-0.019253661295093,0.0101144526530785,0.0155456914386051,-0.0277987296934002,0.0270048315559629
"Sgk3","blue","blue",-0.0172475170841073,0.124108728948991,-0.229302790947904,0.302286974611725,-0.102884638189993,-0.125338290797982,-0.11689180161865,0.0723708207828311,-0.159547716031698
