"gene1","gene2","tom"
"Pex5l","Galntl6",0.185484833619626
"Pex5l","Nos1ap",0.244463028299887
"Pex5l","Vwc2l",0.226536614731375
"Pex5l","Elavl2",0.242319381328886
"Pex5l","Frmd4b",0.233366566196207
"Pex5l","Adarb2",0.21137267708418
"Pex5l","Robo1",0.202325074212351
"Pex5l","Cadm2",0.232895866681747
"Pex5l","Nkain2",0.203399949033193
"Pex5l","Erc2",0.223563367015232
"Zfhx3","Galntl6",0.195536514433469
"Zfhx3","Nos1ap",0.220041649459753
"Zfhx3","Vwc2l",0.224323488825432
"Zfhx3","Elavl2",0.22122534291019
"Zfhx3","Frmd4b",0.238033625223541
"Zfhx3","Adarb2",0.232259740512494
"Zfhx3","Robo1",0.227112902991668
"Zfhx3","Cadm2",0.207722501947512
"Zfhx3","Nkain2",0.201526377618336
"Zfhx3","Erc2",0.237010821506799
"Galntl6","Nos1ap",0.191061442429737
"Galntl6","Vwc2l",0.196037668444528
"Galntl6","Elavl2",0.193254966558472
"Galntl6","Frmd4b",0.202202167303959
"Galntl6","Adarb2",0.194458554728488
"Galntl6","Robo1",0.196533647625752
"Galntl6","Cadm2",0.185266557412448
"Galntl6","Nkain2",0.191553094739851
"Galntl6","Erc2",0.201723691508812
"Nos1ap","Vwc2l",0.233936951168356
"Nos1ap","Elavl2",0.249073524073087
"Nos1ap","Frmd4b",0.243258469000564
"Nos1ap","Adarb2",0.222743698137913
"Nos1ap","Robo1",0.210406281394567
"Nos1ap","Cadm2",0.236921431790096
"Nos1ap","Nkain2",0.204426629207871
"Nos1ap","Erc2",0.237793658795145
"Vwc2l","Elavl2",0.230456514506725
"Vwc2l","Frmd4b",0.243949009168414
"Vwc2l","Adarb2",0.219140001142049
"Vwc2l","Robo1",0.222964017809415
"Vwc2l","Cadm2",0.219015169703985
"Vwc2l","Nkain2",0.205472581644992
"Vwc2l","Erc2",0.244538980451369
"Elavl2","Frmd4b",0.24203947991798
"Elavl2","Adarb2",0.218682494746227
"Elavl2","Robo1",0.21221078111462
"Elavl2","Cadm2",0.228957417524721
"Elavl2","Nkain2",0.212811438911668
"Elavl2","Erc2",0.229366366709034
"Frmd4b","Adarb2",0.242087965153845
"Frmd4b","Robo1",0.232211911382833
"Frmd4b","Cadm2",0.228011811751301
"Frmd4b","Nkain2",0.213874972695872
"Frmd4b","Erc2",0.247980551908663
"Adarb2","Robo1",0.231781865970054
"Adarb2","Cadm2",0.205175379264153
"Adarb2","Nkain2",0.203096728817062
"Adarb2","Erc2",0.241090666332146
"Robo1","Cadm2",0.199561100006137
"Robo1","Nkain2",0.199684040663149
"Robo1","Erc2",0.23489528582335
"Cadm2","Nkain2",0.20414766294706
"Cadm2","Erc2",0.217499318772696
"Nkain2","Erc2",0.219206627721425
