"gene_name","module","color","kME_brown","kME_grey","kME_turquoise","kME_black","kME_magenta","kME_green","kME_cyan","kME_blue","kME_pink","kME_purple","kME_greenyellow","kME_yellow","kME_tan","kME_salmon","kME_red","kME_midnightblue"
"Xkr4","brown","brown",0.359868169428211,0.14302784577493,-0.126875062664461,0.184002806274753,-0.22406316329025,0.152297580669285,-0.0810448108477335,0.234875591672047,0.0616097573890855,0.177580338855028,-0.065497307254435,-0.0993879113324427,-0.108086369579155,-0.0200246423792702,0.0329463114500449,-0.00284394498807115
"Gm1992","grey","grey",0.141241855379062,0.108297116556038,-0.0213223348082398,0.0955126845356794,-0.0791958766677406,0.0795960508003711,0.00913761984784052,0.108326540264021,0.0236586538314184,0.0804615242337248,0.00102459487939648,-0.0948402840194526,-0.0239110117025162,0.016366247320485,0.0467728744489644,0.0340503851257441
"Mrpl15","grey","grey",-0.0258071136444661,0.0305486415075583,0.0938128844628961,0.00136685363116409,0.0208771600332005,0.0229790542157389,0.0307177512517373,-0.0467115805675709,0.0203668383633592,-0.0153261041001872,0.0603455865989066,0.0470905118757321,-0.00100346387165071,-0.00397859099039975,0.0454933091197342,0.0143561930930585
"Gm37988","turquoise","turquoise",0.00806734847051184,0.0183044874289206,0.0270067253391417,-0.000992140036009019,-0.0135377784868823,0.0148434348163973,-0.0177248121644416,0.0109875392212322,0.0336280193887268,-0.0110610061231574,-0.00843274940972916,0.0422721222832153,0.000896311358832132,-0.0121829462373898,-0.00454896122057149,-0.00319126719543222
"Tcea1","grey","grey",0.0187365190569304,0.0232911322703357,0.00816487428142172,-0.00444549865609033,-0.0144982734653272,0.0269850187542343,0.0115721405602242,-0.0129992326095734,0.0057250201761963,-0.0133192603893212,0.0158074273628034,0.0699718525777518,-0.0340497126703158,-0.0157171963280483,0.0379395373530133,-0.0098576496774273
"Rgs20","black","black",-0.00432006455273162,-0.00412706452161644,-0.109827914406801,0.155701727956986,0.127492819624562,0.0710275798327554,-0.0593154284398766,-0.143064266357503,-0.0992135380493878,0.034939002303322,0.145442369204677,0.252589568130026,0.104806296275606,-0.00697189818088276,0.0407849086606338,-0.166425345560805
"Atp6v1h","grey","grey",0.0224788306613461,0.114960475505334,-0.000927723535761635,0.0952792374179387,0.103928853969263,0.045247210821827,0.0432356779016221,0.0458792920839214,-0.0125150491198341,0.0886670213062986,0.0353670538168021,0.0125316376914956,0.106929045321995,0.08243094788177,-0.0448549652771895,-0.0262744313685433
"Oprk1","magenta","magenta",0.0415161492228935,0.255202768917457,-0.03365411792807,0.330461588505156,0.473700964801846,0.281328558969892,0.0988365118685261,-0.0241470986843733,-0.122991395813216,0.299361369047366,0.265945863110502,-0.269813004930015,0.458819224848497,0.31339535408473,-0.12963980561141,-0.208983305489297
"Rb1cc1","grey","grey",0.0825562330165068,0.0351624235999548,-0.0692708303461458,0.00199293504385353,-0.0879882686642713,0.0393397707270561,-0.00251064483444203,0.057949171988799,-0.0254680381546395,-0.0103208135758118,-0.0101774340697514,0.073066898736531,-0.0585950015074446,-0.0417284287477521,0.0531257306675932,0.0168409269838118
"4732440D04Rik","turquoise","turquoise",-0.0452129944541875,-0.0715111382290408,0.00078448262940898,-0.0697691921594905,-0.043013813947606,-0.0306059347827,0.00962373395696149,-0.0527162054132416,0.0266850306309626,-0.0751697029023099,-0.0073819781666173,0.0713749684573015,-0.0595272617519718,-0.0509601824117891,0.0407399830337082,-0.0207885386504574
