"gene_name","module","color","kME_black","kME_grey","kME_brown","kME_blue","kME_green","kME_yellow","kME_red","kME_pink","kME_turquoise","kME_magenta","kME_greenyellow","kME_purple"
"Xkr4","black","black",0.388255673621952,0.206639807387714,0.109639245847682,-0.254629473641756,-0.0840057525795147,0.185099506109497,0.377965049715194,-0.117039886826744,-0.365280157846025,0.0820708082318016,-0.00745957664250135,-0.195412949698529
"Gm1992","black","black",0.289352995016443,0.127400738916901,0.0121768477693421,-0.098668425850359,-0.0649236705755818,0.10828986249751,0.160859059524946,-0.083006600294663,-0.202003516044958,-0.00166900871733111,0.0405102412730462,-0.161234170429439
"Rp1","grey","grey",0.0355742632259726,0.0589538052312356,-0.016510943496315,-0.00877863061863853,-0.0262319292482653,0.0466153982660288,0.0249329489069072,0.0140764284438335,-0.00600129294762049,-0.00875947365301923,0.0451710862187278,-0.0121708287603246
"Mrpl15","grey","grey",0.0297192963242526,0.0506757548017965,-0.0140775810293236,-0.0268341333936932,-0.0417082136858315,0.0469609895534983,0.0386469505074027,0.0643883573887966,0.0445359491889084,0.0288220676436501,0.0151930130452657,0.00390604347045173
"Gm37988","grey","grey",-0.0169209114108134,-0.0588231484770703,-0.00276031942695904,0.0940203824240854,0.0661885656550992,-0.0775221291277263,-0.0878909592854174,-0.0515844772059224,0.0379559670984772,-0.024112368059424,-0.00259547472405073,0.0380640964973693
"Tcea1","grey","grey",0.0535978000086555,0.00700597256479976,0.0139729951450715,0.0341816087672421,0.042743494212624,-0.0266149516377261,-0.00795538925766857,-0.0631834512074665,-0.046932027328969,-0.0139320243825252,0.00297036747683249,-0.00574070148529617
"Rgs20","brown","brown",0.165465657479335,0.0552905853851863,0.188122632683968,-0.0966111162575277,0.0874478898281006,0.00255793945733457,0.140939881793702,-0.0468295250184051,-0.159429855827969,0.115179935403671,-0.0231965330953095,0.0234680151348021
"Atp6v1h","grey","grey",0.147979295923735,0.0702000612447771,0.0203448750452,0.102362849085353,0.0799133808536805,-0.0258733292167915,-0.0286845021572306,-0.0981176559843922,-0.0649496865443858,-0.0596952382216469,0.0682295775881976,-0.0150493857279123
"Oprk1","brown","brown",0.0775076424041094,0.00832653005206424,0.40622206312941,-0.155248974985385,0.178374302038633,-0.085447302663756,0.228824154888482,-0.0889573782804266,-0.145588112263732,0.238855207519397,-0.253793521999813,0.133464825886795
"Rb1cc1","grey","grey",0.0493168310502539,0.0875222528407899,0.0180121173997191,0.00220047144766315,0.00737904642592164,0.0368656184444933,0.0332430027343758,0.00847112233568055,-0.0097751304042611,0.025686397255003,0.052779254892643,0.0287223998496719
"4732440D04Rik","black","black",0.107964480328833,0.0645645002332028,-0.00141271508617276,-0.010753551393194,-0.0174181212936674,0.0332392635919837,0.0322169315281695,-0.0195575180561916,-0.04559772616765,-0.00429344978976592,0.0122256904573584,-0.0510615471702292
"Pcmtd1","brown","brown",0.172055553760571,0.0554082504161189,0.221655540169658,-0.052318723093713,0.116213353231306,-0.0565859919079135,0.148915587228459,-0.173135171922981,-0.22691227710658,0.0463004228159617,-0.152617267370313,-0.0279142172393727
"Gm26901","grey","grey",0.100494655640035,0.0967260882534838,0.0542620121344794,-0.0485332088368809,-0.0202636638706324,0.0417733810686824,0.0985178633809358,-0.00636736524090211,-0.0593195167070429,0.036294575480745,-0.0142489065881299,-0.0470785173879997
"Sntg1","grey","grey",0.278978835758148,0.0957113227353006,-0.0227835185756245,0.254899818737053,0.146556924565361,-0.0773582211276119,-0.104387326508976,-0.272138537267073,-0.215435937278233,-0.197682175864267,0.164273516170411,-0.13760359031489
"Rrs1","grey","grey",0.0394676013786627,0.0422377755060271,-0.0150929237833833,0.00679573837142568,-0.0157019068806116,0.0215198447656315,0.0136735900499817,-0.00607867925742026,-0.0105316540217144,-0.0035941282906431,0.0172105900206733,-0.0370462694760939
"Adhfe1","grey","grey",0.0208506597599186,0.0439734644115882,0.00417817867953299,0.0117739525215331,-0.0074134180099956,0.0206056364032345,-0.0031123072161861,0.0347569155960083,0.0495572929071881,0.0146689080954191,0.0260569127882623,0.017772607049514
"Vcpip1","grey","grey",0.0312447643697422,0.0430684817737638,0.00266888109057355,0.0253737101836969,0.00954743498347265,0.00264069413644784,-0.00335597236250684,-0.0162921132691408,-0.00990271544564203,-0.0274478330058343,0.00941592663847357,-0.0154298952920906
"1700034P13Rik","grey","grey",0.019274102925712,0.0389978421671871,0.0263637556766616,-0.0270086071670714,-0.00775555966701051,0.0214434785363729,0.0433782596345646,0.0114852914247353,-0.00110011894271019,0.0359205808361453,-0.0100945788665627,0.00936616239116597
"Sgk3","blue","blue",0.0195399603248249,0.0435578971975114,-0.207129944687947,0.307961765475826,0.0370431692001946,-0.0380008233586843,-0.272680544480866,-0.0549150098414793,0.0836756223816884,-0.229721561575854,0.230409468161747,-0.0806717748329994
"Mcmdc2","brown","brown",0.0638353479763404,-0.0237783974379459,0.0643107065454741,0.0739336660647452,0.101335212230042,-0.0907779175219216,-0.041860416976046,-0.131014612366608,-0.102269834687598,-0.0535552774938309,-0.0268667465101552,-0.0228258245307407
"Snhg6","grey","grey",0.0304433872246984,-0.00291043456200368,0.015122251807651,0.0140034669754651,0.0288083345819398,-0.0294491880931675,-0.00991641201218529,-0.0455686480297285,-0.0296482858412198,-0.017852115300525,-0.0159490734350948,-0.0124224834077437
"Gm15818","grey","grey",-0.00475457583004433,0.0894064970073413,-0.0218664807492561,-0.0456786282900934,-0.0600660829692934,0.0752360318409827,0.0489937824030795,0.0988762187472398,0.077745380864605,0.0299870639125294,-0.0204053807768419,0.0115177812671638
"Cops5","grey","grey",0.0462902821778259,0.0389274611840161,-0.0273570381139669,0.0698751885652982,0.020455601131591,-0.00808092916609241,-0.044911141988755,-0.0339518950431199,-0.0129133452891602,-0.0583776961522703,0.0638360244976733,-0.0284899031543793
"Cspp1","green","green",0.0699835961275746,-0.0223649758844233,0.0998713253277498,0.165813307046953,0.193147316791735,-0.147060652125812,-0.0745002179760897,-0.161136354441218,-0.0406761874066051,-0.0504171721803066,-0.0205123874249304,0.0785328114224698
"Arfgef1","grey","grey",-0.00129070008505241,0.0320148588765136,-0.0169740524686723,0.0496446788780884,0.0126133260299112,-0.00376198486911384,-0.0284144511203938,0.00589595938243429,0.0595276161432663,-0.00354445116189121,0.0193337693167724,0.0180330004673139
"Cpa6","grey","grey",0.0763785938143535,0.0656594970009455,0.00855035953150672,0.027319265701575,0.0176301292616253,0.013491953239106,0.00417936853234706,-0.0116379178452883,-0.0179327069181617,-0.000381268263521836,0.0351364692495464,-0.0153338288624123
"Prex2","blue","blue",-0.101565953690918,-0.233750979046391,-0.207495696021965,0.68089751334277,0.327296619202832,-0.378342543622951,-0.637983346759904,-0.314478905577764,0.0935696995440245,-0.378843351992738,0.249487530816461,0.0429772448591086
"A830018L16Rik","blue","blue",-0.12153419690756,-0.330248999356771,0.0450364644067247,0.682095045600687,0.508504753413746,-0.535069202299661,-0.591435934821556,-0.416069583025412,0.0334451146148051,-0.272693015066195,0.0679205079906697,0.179123731814772
"Sulf1","brown","brown",-0.0909444637742109,-0.295221093256467,0.369905702975607,0.00794920578564761,0.373001786615788,-0.335743363859231,-0.0275515697822522,-0.25882800949893,-0.191452453235289,0.106734961150127,-0.287125457702835,0.246542070903631
"Slco5a1","brown","brown",-0.0102925958980941,-0.0175916222713997,0.0966319641244046,-0.0329029905533752,0.0478642870354913,-0.0370209207344117,0.054301459645988,-0.0449790108068103,-0.0481965336520626,0.0438442971924233,-0.0887160143206953,0.0186290897548977
"Ncoa2","blue","blue",0.0262825260702528,0.0560727538612687,-0.107987314815132,0.235239194346554,0.06003811518035,-0.04167447241702,-0.179635718931627,-0.016357585423554,0.103080025584277,-0.141347838664377,0.160706307271088,-0.0019069472745152
"Tram1","blue","blue",-0.02852860551,-0.0650362079981367,-0.00604123943296618,0.205503204045753,0.137161449048272,-0.127684579713221,-0.165508627892495,-0.0947617487363507,0.0412695046686098,-0.0571385991436119,0.0377790148762972,0.0726902337837866
"Lactb2","yellow","yellow",0.133634013056723,0.291720202706487,-0.0953900705188297,-0.160125903980235,-0.230667498733203,0.280578964202417,0.190739570089063,0.17506111896205,0.0188040770911408,0.0185482088920423,0.0825254170245433,-0.146282989847738
