"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.0188522334559703,5.15580983343077,0.952423843221498,6539.71012314418,6552.0688756227,7049.2657504823
2,0.0784151240726195,-5.5648304268527,0.995421817304203,3371.83719420537,3366.60757773271,4021.83646120956
3,0.233200785499749,-6.54011492940159,0.959833945336791,1758.63642718933,1744.01873759411,2366.4025332982
4,0.495172120141979,-6.96182459245826,0.923764322300429,927.831909638553,912.787934559342,1429.07039733695
5,0.714442861985549,-6.63397882993596,0.927382558727658,495.286244334824,482.593793953256,884.022446084609
6,0.835218882450879,-6.07267460553348,0.951428611176731,267.644235287269,257.183541118511,566.662704971015
7,0.890610986564874,-5.44206136712261,0.967629569072501,146.520261321076,137.931303953607,374.344161174006
8,0.920377260742686,-4.85484946361873,0.976605091247333,81.3385666616728,74.5006290233801,253.257891138836
9,0.935325445455132,-4.34925805471777,0.984372794350388,45.8423672692543,40.6146528870859,174.854633705635
10,0.943986749398655,-3.87818548686284,0.988571130132842,26.2666244118754,22.2557820872905,123.130863916637
12,0.950627190384673,-3.14379151167724,0.991202446906266,9.11720957923667,6.82544202808104,64.7898609668681
14,0.948717626912828,-2.73066347343975,0.995248766198612,3.44503380680997,2.15037497082835,40.2497246696511
16,0.925416349742341,-2.47544806917887,0.9893202654525,1.43261178704032,0.694579913898541,27.2915415328681
18,0.928084839850659,-2.19253844846125,0.990207901629145,0.659177785302605,0.230025366487902,19.219765544882
20,0.930711915809465,-1.97801795852209,0.985307323442896,0.334821347704402,0.0779936877827778,13.9362282506602
22,0.956410329523402,-1.786684888764,0.995629526041902,0.186041466952127,0.0271327310478988,10.3418423255075
24,0.967598350698182,-1.65119341566024,0.989724517057752,0.111654335793254,0.00963398032802876,7.87237606255995
26,0.95952682867483,-1.61746312159876,0.983387272936332,0.0714406743389288,0.00349819254666417,6.87034878180815
28,0.430384052041329,-2.0746901115854,0.396042990679465,0.0481778035863567,0.0013029855921014,6.14823489792897
30,0.445738108239066,-2.00420614581302,0.412072801031156,0.033927776636305,0.000490558870147151,5.59426468542363
