"gene_name","module","color","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_green","kME_black","kME_yellow","kME_red"
"Xkr4","blue","blue",0.230516840894427,0.0947373641110276,-0.141998053032345,-0.121900569138588,0.215798144128373,0.145714711431497,-0.114664529536784,0.198639885079332
"Gm1992","blue","blue",0.166139504537747,0.0920943649460308,-0.0165036231898976,-0.0940596430869736,0.105112064690225,0.0693554510510879,-0.0639997357085994,0.102722307564828
"Rp1","grey","grey",0.0161779332168179,0.022651927385676,-0.0237750426423547,0.00480506157568314,0.0211185898074414,0.000625733725425839,-0.0209661504857891,0.0143025012104307
"Mrpl15","brown","brown",0.0510406772885988,0.0551651321202309,0.0923409809296244,-0.0166733869879144,0.00242828486852985,-0.0100396177130092,-0.0387465361816953,0.0197929965593911
"Gm37988","grey","grey",-0.0181572473529302,0.0090545518200203,0.0397118919674953,0.0245762951072224,0.0136432924341104,0.0020635714494755,-0.0103333209491924,-0.00340901237374463
"Tcea1","grey","grey",0.0129100452110238,0.0280951142260655,0.0128139274529162,-0.00456904921457777,0.00970641273366192,0.0152744999724109,0.0308570480263631,0.00970854586252415
"Rgs20","blue","blue",0.129583329767624,-0.0162492022962318,-0.0871707451546401,-0.229017552759727,0.0702240588119549,0.170870456299631,0.286133925037709,0.108152666803945
"Atp6v1h","turquoise","turquoise",-0.00246450298810531,0.095013685080932,-0.0543580562845501,0.0639904092774326,-0.0136588058633353,0.0362528784728238,0.0746562283484161,-0.0105544400723922
"Oprk1","blue","blue",0.185240036427388,0.164841722317147,-0.0221920767941104,-0.0567870856133663,0.225381170222168,0.279624427177037,-0.161507180521953,0.111154848122002
"Rb1cc1","turquoise","turquoise",-0.0147866747910986,0.0522249617751816,-0.057775620712673,0.045296744573579,-0.014799535833344,0.0226192024370005,0.112879110054267,-0.0222170077905015
"4732440D04Rik","turquoise","turquoise",-0.0628008121974285,-0.0254583999767887,0.00566428637875103,0.0321464321649478,0.0110320388502693,0.0225512488438689,0.107690308506937,-0.0669730844915218
"St18","grey","grey",-0.00927054935628889,0.0166296488207479,0.0110191087515363,0.0306784969663405,-0.0117560877511574,0.0106740553472998,-0.010978078779281,0.0299534750017708
"Pcmtd1","green","green",0.108935301561286,0.110747157980055,-0.0339217467947514,-0.0176640640167297,0.160874992890161,0.0903831297296979,-0.0680219361770807,0.00805773162265012
"Gm26901","grey","grey",0.0912302213898428,0.128482108336113,-0.024752875752519,0.0041877189687782,0.017778511482862,0.0319783828101274,-0.0935565685901098,0.0916453501603708
"Sntg1","turquoise","turquoise",-0.135306528927778,0.264282828867007,-0.153864554845203,0.4806485626643,-0.0416883977030158,-0.0220287731551541,-0.247037538080849,0.119126741728073
"Rrs1","grey","grey",0.01262097943712,0.00990676285520929,0.0562477154010273,-0.0202988831171964,0.00189432760555794,0.0239265591841887,0.0304834023121421,-0.00304507437614877
"Adhfe1","grey","grey",0.0331753408205764,0.0213765838938624,-8.91106656004567e-05,-0.0330748778690969,0.0127494921876291,0.0225352211222857,0.0212399075875378,0.00927196836986354
"Mybl1","grey","grey",0.0357772944957482,0.0189770972613125,0.00555625988554978,-0.0369747586343654,0.0142480543546036,-0.0149698005799994,0.0228506979754021,-0.00956742875319273
"Vcpip1","turquoise","turquoise",-0.00489105110371849,0.0608296108443662,-0.0163978478277123,0.0528959298295486,0.00723650553397662,0.00155059333685617,0.00889097403641387,0.015634394729396
"1700034P13Rik","grey","grey",0.0275835209297352,0.0213858543496977,0.00340433424190139,-0.0213462832168837,0.0106129189409773,0.00494983154175173,-0.0037878703520467,0.00689845314207427
"Sgk3","turquoise","turquoise",-0.178706303697884,0.0831879556477657,-0.0257822328523985,0.303269575824796,-0.0891249055934806,-0.106992642007647,-0.0514032800639551,-0.0979427262071813
"Mcmdc2","turquoise","turquoise",-0.122379208063204,-0.00871018812264803,0.0107183159546515,0.148225020706861,0.0095844151792643,0.00599678655721932,-0.00781867775755105,-0.00570269940613741
"Snhg6","grey","grey",-0.0268671344755404,-0.00440236091855298,0.0532694991218711,0.0200031604795246,-0.00285188792605454,-0.00203187640691032,-0.0101408701096364,0.0052856296197334
"Gm15818","brown","brown",0.0610539802792755,0.0520229809665599,0.0317066192636462,-0.038736923347982,0.00978064441339256,0.0136425441056744,-0.0223757177893933,-0.00314435257058627
"Cops5","turquoise","turquoise",-0.00726369564755198,0.0856923931099897,0.06994022418427,0.0852441397059614,0.0160884555772163,-0.0108152030918178,-0.0595243692309151,-0.0122140976001405
"Cspp1","turquoise","turquoise",-0.0728009017975473,0.11417554168275,-0.0906596902847682,0.207950877045892,0.0356374947958478,0.00207298203204437,-0.0682413269851889,-0.027787994898536
"Arfgef1","turquoise","turquoise",0.0605958821505456,0.141477196808573,-0.0382918931111681,0.0565029638459769,0.0354614927064145,0.0106479035471673,-0.0468882139340094,0.0264786719726254
"Cpa6","grey","grey",0.0335355336897352,0.0449728739261959,0.00159923164634862,-0.00385024774921381,-0.0128192320636022,0.00328844390106472,-0.0190370542738952,0.0523999338477267
"Prex2","turquoise","turquoise",-0.572463444926112,-0.0595295590420255,-0.0342213953673709,0.692485245479673,-0.173464592054456,-0.123145665897292,-0.0877383601776773,-0.122351016426113
"A830018L16Rik","turquoise","turquoise",-0.682843238965894,-0.114949476912287,-0.0475276496600261,0.805478732886067,-0.153291280093508,-0.0866982878800061,-0.124777726490788,-0.119873215483783
"Sulf1","grey","grey",-0.140593043966336,-0.179652512079637,-0.0145319340927918,0.0563346409176001,0.209438141682028,0.117110774889722,-0.0259181006331118,0.137207661938462
"Slco5a1","grey","grey",0.0408265379292236,0.0472246783968377,-0.041988522910631,-0.00315095819035188,0.0628590334323336,0.0548931656593711,-0.0106736210317151,0.0385297894671687
"Ncoa2","turquoise","turquoise",0.0380092127072,0.172792888387212,-0.0753929994734656,0.126036525762709,0.00411970502545844,0.0346185918606307,-0.0757995438689556,0.0948290016220142
"Tram1","turquoise","turquoise",-0.122922848180441,0.021297660983246,-0.0182229077187857,0.175254305403439,-0.0295473459636251,-0.0279752018456554,-0.0142726590796759,-0.0323850220605654
"Lactb2","blue","blue",0.257212854707178,0.179412502950213,-0.0386938203477457,-0.195012862739397,0.00151365357301956,-0.0316602426140525,0.0735183686682748,-0.0282331534050486
"Eya1","black","black",-0.00257589146374209,0.0260275741687704,-0.0147856416667835,0.0172549782142417,0.150248022083937,0.65344745573841,-0.0152015940113869,0.0492813340447971
"Kcnb2","blue","blue",0.546475231231636,0.276469301543305,-0.05814441027719,-0.424380161229337,0.294554663334482,0.279315233641923,-0.107391223697317,0.0601788282146214
"Terf1","green","green",0.0873189559566717,0.0669883823412059,-0.0267969973192614,-0.0405897385434766,0.160540129346852,0.0643525142938603,-0.0395146434766325,0.00520962725348812
"Sbspon","grey","grey",0.0333527926322099,0.0434669115197763,-0.024870296481711,-0.00822939231133965,0.0547618580799408,0.0588331116286939,0.00260568883227754,0.00900449725027475
