gene,SNc healthy kME,SNc healthy in_module,SNc healthy rank,SNc intact kME,SNc intact in_module,SNc intact rank,SNc lesioned kME,SNc lesioned in_module,SNc lesioned rank,VTA healthy kME,VTA healthy in_module,VTA healthy rank,VTA intact kME,VTA intact in_module,VTA intact rank,VTA lesioned kME,VTA lesioned in_module,VTA lesioned rank
Grin2b,0.0278,0,,0.0298,0,,0.1093,0,,0.2722,1,99,0.1307,0,,0.2295,0,
Itpr1,0.4795,1,162,0.3526,1,245,0.4024,1,205,-0.0179,0,,-0.0151,0,,0.2890,1,116
Itpr2,0.1482,1,864,0.0968,0,,-0.0098,0,,0.0588,0,,0.0641,0,,0.1744,1,306
Itpr3,,,,,,,,,,,,,,,,,,
Kcnj3,-0.3364,0,,-0.4126,0,,-0.3048,0,,0.0975,0,,-0.1018,0,,0.1722,0,
Kcnj5,,,,,,,,,,,,,,,,,,
Kcnj6,0.8077,1,11,0.8012,1,5,0.7515,1,5,-0.1570,0,,-0.3052,0,,-0.3335,0,
Kcnj9,-0.0745,0,,-0.0780,0,,-0.0591,0,,-0.0670,0,,-0.0210,0,,-0.0003,0,
Kif5a,0.1878,0,,0.1803,1,694,0.2112,0,,0.0045,0,,-0.0597,0,,-0.0799,0,
Kif5b,0.0143,0,,0.0157,0,,0.0619,0,,0.0946,1,276,0.0174,0,,0.0334,0,
Kif5c,0.1542,0,,0.0833,0,,0.0975,0,,-0.0371,0,,-0.0077,0,,0.0923,0,
Maoa,0.0739,0,,0.1061,0,,0.1825,1,646,0.0552,0,,0.0564,0,,0.0282,0,
Prkaca,0.0104,0,,0.0506,0,,0.1274,0,,0.0456,0,,-0.0004,0,,0.0248,0,
Prkacb,-0.2628,0,,-0.3017,0,,-0.2296,0,,0.0223,0,,0.0465,0,,0.0906,0,
Prkca,0.6961,1,43,0.6923,1,28,0.5702,1,81,-0.2922,0,,-0.3357,0,,-0.2442,0,
Prkcb,0.3780,1,271,0.3332,1,271,0.3038,1,353,0.0436,0,,0.0388,0,,0.2933,1,113
Prkcg,0.2117,0,,0.1542,0,,0.2115,0,,0.0657,0,,-0.0463,0,,0.0070,0,
Plcb1,-0.0291,0,,0.0223,0,,0.2180,0,,0.0048,0,,-0.1554,0,,-0.2641,0,
Plcb2,,,,,,,,,,,,,,,,,,
Plcb3,,,,,,,,,,,,,,,,,,
Plcb4,0.6106,1,86,0.5109,1,114,0.2833,0,,-0.0169,0,,0.1114,0,,-0.1684,0,
Ppp1ca,-0.0067,0,,-0.0216,0,,0.0268,0,,-0.0495,0,,-0.0539,0,,-0.0193,0,
Ppp1cb,0.0370,0,,0.0111,0,,0.0271,0,,-0.0018,0,,0.0075,0,,0.1077,0,
Ppp1cc,-0.0760,0,,-0.0474,0,,-0.0485,0,,0.0239,0,,0.0276,0,,0.0185,0,
Ppp1r1b,,,,,,,,,,,,,,,,,,
Ppp2ca,0.0588,0,,0.0492,0,,-0.0042,0,,-0.0117,0,,-0.0109,0,,0.0010,0,
Ppp2cb,0.0534,0,,0.0386,0,,0.0409,0,,-0.0176,0,,0.0080,0,,-0.0255,0,
Ppp2r3d,-0.0873,0,,-0.0279,0,,-0.0151,0,,0.0021,0,,-0.0190,0,,-0.0461,0,
Ppp3ca,0.1181,0,,0.0776,0,,0.1053,0,,-0.2443,0,,-0.1484,0,,0.3334,1,79
Ppp3cb,0.0163,0,,-0.0030,0,,-0.0177,0,,-0.0190,0,,0.0362,0,,0.0718,0,
Ppp3cc,0.1619,0,,0.1152,0,,0.0862,0,,0.0314,0,,0.0092,0,,0.0263,0,
Mapk11,0.0389,0,,0.0477,0,,0.0811,0,,-0.0291,0,,-0.0076,0,,0.0375,0,
Scn1a,-0.1285,0,,-0.2513,0,,-0.0973,0,,-0.0121,0,,0.0362,0,,0.0831,0,
Creb3l2,0.1201,0,,0.0835,1,1447,0.0802,0,,0.0698,0,,0.1106,0,,0.1978,1,252
Creb3l3,,,,,,,,,,,,,,,,,,
Slc18a2,0.2635,0,,0.4119,1,188,0.4877,1,142,-0.0003,0,,0.0275,0,,-0.1215,0,
Arrb2,-0.0990,0,,-0.0650,0,,-0.0208,0,,0.0180,0,,-0.0395,0,,0.0355,0,
Ppp2r5d,-0.0080,0,,0.0195,0,,0.0670,0,,0.0234,0,,0.0264,0,,0.0067,0,
Th,-0.1267,0,,0.0797,0,,0.2866,0,,0.1340,0,,0.0512,0,,0.0453,0,
Adcy5,0.1315,0,,0.1094,1,1181,0.1641,0,,-0.0430,0,,-0.0138,0,,0.0361,0,
Ppp2r5b,0.0641,0,,0.0421,0,,0.0195,0,,-0.0306,0,,-0.0451,0,,-0.0809,0,
Ppp2r5a,-0.1078,0,,-0.0132,0,,-0.0351,0,,-0.0106,0,,0.0443,0,,0.0547,0,
Creb5,-0.0295,0,,,,,-0.1733,0,,-0.0445,0,,,,,-0.3790,0,
Ppp2r3a,-0.0937,0,,0.0290,0,,0.0134,0,,0.0349,0,,0.0468,0,,0.0601,0,
Akt3,0.0972,0,,0.0492,0,,0.1436,0,,0.0346,0,,0.1081,0,,0.2551,1,153
Mapk10,-0.3779,0,,-0.2638,0,,-0.0818,0,,0.1838,0,,0.0797,0,,0.2753,0,
Mapk13,,,,,,,,,,,,,,,,,,
Mapk14,0.0560,0,,0.0494,0,,-0.0362,0,,0.0169,0,,-0.0001,0,,-0.0131,0,
