gene_name,kME,rank,in_kegg_dopaminergic_synapse
Ralgapa1,0.218498,211,0
Ankrd55,0.218183,212,0
Rtl1,0.217005,213,0
Srrm4os,0.216983,214,0
Rasal1,0.216135,215,0
Ngef,0.215649,216,0
Samd12,0.215229,217,0
Mtss1,0.214671,218,0
Slc6a17,0.214379,219,0
Stag2,0.213823,220,0
Eml5,0.213202,221,0
Gsap,0.210366,222,0
Kmt2c,0.209813,223,0
Pros1,0.208928,224,0
Lmx1a,0.208812,225,0
Luc7l2,0.208500,226,0
Onecut2,0.208467,227,0
Ece1,0.208447,228,0
Cbfa2t2,0.208028,229,0
Arid4b,0.207079,230,0
Tmem219,0.206931,231,0
Senp7,0.206693,232,0
Braf,0.206483,233,0
Prune2,0.206180,234,0
Ankrd12,0.205273,235,0
Sgms1,0.204402,236,0
Cpa6,0.204120,237,0
Wsb1,0.204022,238,0
Unc79,0.202565,239,0
Dlg5,0.201997,240,0
A730017C20Rik,0.201508,241,0
Cdyl2,0.201061,242,0
Casc4,0.200702,243,0
Rundc3b,0.200471,244,0
Kcns3,0.200416,245,0
Ephb2,0.200028,246,0
Stat3,0.199975,247,0
Pkn2,0.199679,248,0
Ttc6,0.199531,249,0
Nsd3,0.199498,250,0
Pdss2,0.199102,251,0
Creb3l2,0.197789,252,1
Ank,0.197732,253,0
Syne1,0.196789,254,0
Arhgap32,0.196689,255,0
2610035D17Rik,0.196416,256,0
Ssh2,0.195090,257,0
Gls,0.194464,258,0
Dnajc12,0.193788,259,0
Dgkd,0.193562,260,0
Cfap36,0.193100,261,0
Mpzl1,0.192982,262,0
Cnrip1,0.192924,263,0
Kcnj16,0.192878,264,0
Stxbp5l,0.192541,265,0
Rhoj,0.191354,266,0
Adcy1,0.190881,267,0
Col9a2,0.190875,268,0
Wdfy3,0.190773,269,0
Rnf130,0.190683,270,0
Dennd4a,0.190398,271,0
Trp53bp1,0.190380,272,0
Zmym4,0.190342,273,0
Hdac7,0.190166,274,0
Arntl,0.189480,275,0
Scn3a,0.189255,276,0
Hnrnpr,0.189183,277,0
Xpr1,0.188682,278,0
Ash1l,0.188651,279,0
Stk33,0.186339,280,0
Scamp1,0.186179,281,0
