gene_name,kME,rank,in_kegg_dopaminergic_synapse
Mad1l1,0.396288,210,0
Stk39,0.396281,211,0
Gm20319,0.394687,212,0
Arap2,0.393302,213,0
Wipf3,0.393009,214,0
Chrna4,0.391680,215,0
Aff3,0.391514,216,0
Nectin3,0.391149,217,0
Mctp1,0.391111,218,0
Specc1,0.391098,219,0
Ica1,0.390262,220,0
Mpp6,0.389227,221,0
Btbd11,0.388014,222,0
Adcy1,0.385397,223,0
A430106G13Rik,0.385384,224,0
4933411O13Rik,0.383626,225,0
Pde4d,0.382514,226,0
Fat4,0.382169,227,0
Rasgef1b,0.382057,228,0
Cnpy1,0.381006,229,0
Dok6,0.378384,230,0
C79798,0.377851,231,0
3632451O06Rik,0.376216,232,0
Tfdp2,0.376042,233,0
Ctdspl,0.375242,234,0
Osbpl11,0.373783,235,0
Srgap2,0.372118,236,0
Ghr,0.371161,237,0
Gm28153,0.371015,238,0
Rph3a,0.370087,239,0
Snx24,0.368836,240,0
Gab2,0.368625,241,0
Uncx,0.368469,242,0
AC149090.1,0.368169,243,0
Acer2,0.367884,244,0
Plcxd2,0.367153,245,0
Agbl4,0.365722,246,0
Slc8a3,0.364951,247,0
Slc16a9,0.363331,248,0
Cdh8,0.362066,249,0
Nrn1,0.361339,250,0
Ank1,0.360769,251,0
Ankrd24,0.360269,252,0
Gfpt2,0.359696,253,0
Me3,0.358064,254,0
Pdgfc,0.357677,255,0
Cpq,0.357658,256,0
Sema6d,0.357448,257,0
Grin2c,0.356713,258,0
Gbf1,0.356457,259,0
Gm45904,0.356053,260,0
Slc39a12,0.355806,261,0
Rimbp2,0.355644,262,0
Ttc14,0.355582,263,0
Myo6,0.353629,264,0
Bclaf3,0.353172,265,0
Fryl,0.352679,266,0
Mylip,0.352568,267,0
Pknox2,0.350776,268,0
Gm42397,0.350667,269,0
Tle2,0.350465,270,0
Wdr44,0.350022,271,0
Cyth3,0.349504,272,0
Ptar1,0.348993,273,0
Fgf20,0.348400,274,0
2900011O08Rik,0.348163,275,0
Nrg2,0.345833,276,0
Lypd1,0.345201,277,0
Glud1,0.343096,278,0
Klhl13,0.342963,279,0
Clybl,0.342288,280,0
Rgs11,0.341854,281,0
L3mbtl4,0.341247,282,0
Osbpl9,0.341196,283,0
Hmgcr,0.340884,284,0
Etv6,0.340638,285,0
Platr31,0.340086,286,0
Bmpr1b,0.339320,287,0
Mctp2,0.339268,288,0
Syt1,0.339239,289,0
Scube1,0.339222,290,0
Itgb8,0.338371,291,0
Fhit,0.337655,292,0
Homer2,0.337568,293,0
Gabrb2,0.336431,294,0
App,0.336133,295,0
Unc13b,0.335872,296,0
Siah3,0.335465,297,0
Tacr1,0.335263,298,0
Drp2,0.335178,299,0
Slco2a1,0.334343,300,0
Lgi1,0.334061,301,0
Map2k6,0.333496,302,0
Ror1,0.332137,303,0
Col11a1,0.330904,304,0
Gpatch8,0.330873,305,0
Eps15,0.330652,306,0
Ttyh1,0.330625,307,0
Cacna2d3,0.328819,308,0
Snrk,0.328217,309,0
Srebf2,0.327524,310,0
Prickle2,0.327377,311,0
C230004F18Rik,0.326987,312,0
Gm35188,0.325582,313,0
Klf8,0.325419,314,0
Vwa5b2,0.325408,315,0
Atp2b2,0.324794,316,0
Hecw1,0.324527,317,0
Ano6,0.324047,318,0
E2f3,0.323951,319,0
Pantr1,0.322309,320,0
Myh14,0.322230,321,0
Kif21a,0.322125,322,0
Plxna2,0.321469,323,0
Flt3,0.320496,324,0
Rap1gds1,0.320374,325,0
Acss2,0.319372,326,0
Ldhb,0.319244,327,0
Begain,0.319021,328,0
Pxmp4,0.318345,329,0
Gm30085,0.318017,330,0
Plxna1,0.317790,331,0
Prickle1,0.317723,332,0
Hmgcs1,0.316866,333,0
