"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.0501399345046709,15.1456611835728,0.873588325457646,4528.86027957371,4530.96405630704,4735.36392184328
2,0.0220851757117753,-5.69896909444609,0.926022557264058,2302.70203555819,2299.93135305519,2545.00720839316
3,0.050590611142358,-6.036419971042,0.873107175989525,1182.09478953014,1178.13611713638,1392.45825227966
4,0.358505419318513,-11.9358135562936,0.833409219746398,612.641180981598,608.256442668216,808.773717728244
5,0.731452754250555,-13.0723002229273,0.897658102738247,320.581503578788,316.1206078069,490.358960107938
6,0.86017936847529,-10.4802557681856,0.953171880173333,169.415819836899,165.330064498389,306.75328899635
7,0.910373205626828,-8.45244566501732,0.969951645104074,90.4538071120343,86.9493845813779,197.283137531406
8,0.943561864589498,-6.69762524093203,0.976961467386109,48.8210506349678,45.9987946576064,130.048204070473
9,0.969529216818821,-5.39251376551741,0.988462273661161,26.6581221279687,24.4937085033325,87.6500739415276
10,0.973554059466524,-4.52432749384289,0.984667266910756,14.7409078081618,13.1141511132442,61.1271625146647
12,0.987062510448576,-3.38955653155583,0.990038427409745,4.70529186906293,3.82032830357221,33.5787585820667
14,0.978783099005989,-2.85370520032127,0.987577608405826,1.60851310132885,1.13724287404863,22.3397758479754
16,0.457639073256716,-3.39346237415929,0.408821917105237,0.59856531388742,0.345306405603748,15.7505598947956
18,0.451831826664897,-2.85877987338934,0.423696604168631,0.246426230853581,0.106829663003799,11.5451822940069
20,0.94548836024944,-1.90875920900608,0.973155493496925,0.113368251905818,0.0338094400758714,8.69648363137805
22,0.947373928811236,-1.7199600482955,0.973969361992157,0.0581894261529886,0.0108493010966819,6.68382140003633
24,0.434635687169363,-2.01090898379987,0.341187860022927,0.032893508162649,0.00354072920070914,5.21759269523477
26,0.44175984117407,-1.90852024700202,0.350015790401527,0.0200961711350614,0.0011734481972594,4.12440614046407
28,0.443683250541998,-1.82273885807748,0.353676836646882,0.0130257365345691,0.000395037891914196,3.2943819331738
30,0.447859603102866,-1.75923403677582,0.359214574058314,0.00882416261443867,0.000134740142142542,2.65478195897251
