"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_brown"
"AL669831.5","turquoise","turquoise",0.279539275608436,-0.173484105739968,0.0956753432979559,0.0447924298906746
"NOC2L","blue","blue",-0.121458410333286,0.230290346321099,0.119606831723087,0.0703991083078586
"HES4","grey","grey",-0.00988359235472602,0.119458408725464,0.106433678157699,0.059869045576272
"ISG15","grey","grey",-0.0462611336948326,0.0770743303743567,-0.00475761789860731,-0.0390654088591091
"C1orf159","turquoise","turquoise",0.196958102432413,-0.122551243826124,0.085969194642301,0.0322519419111536
"SDF4","blue","blue",-0.0707319352100067,0.170725508944831,0.104062412756476,0.0585890700406961
"B3GALT6","blue","blue",-0.069535682403817,0.125817186297397,0.0641960694346584,0.0633132159833083
"UBE2J2","grey","grey",0.00545002883327128,0.0829020618497511,0.104751988474363,0.0748472756085464
"ACAP3","grey","grey",0.142171158985436,-0.0591659044112575,0.104198903002316,0.0477895255778334
"INTS11","blue","blue",-0.0117622509093743,0.127869936797184,0.118204099022726,0.0608213518983008
"CPTP","grey","grey",-0.0729239808720834,0.112358902267421,0.0569579252176966,0.0485588067923941
"DVL1","grey","grey",-0.0248928542754404,0.0915594925758949,0.0891781238771637,0.0979868916553322
"AURKAIP1","blue","blue",-0.164254519575881,0.292939428412183,0.129433262022116,0.125563357287207
"CCNL2","grey","grey",0.0721753725517472,0.0223300708036044,0.0975393025211638,0.0597661020530942
"MRPL20","blue","blue",-0.0905076399649256,0.163859839900019,0.0786441077385251,0.0741005106240456
"ATAD3A","grey","grey",0.0199204256035099,0.0686659243759744,0.0999759226917734,0.0675121904066542
"SSU72","blue","blue",-0.15301908735886,0.263963172201329,0.116419496713367,0.117778893465688
"FNDC10","blue","blue",-0.0767731014474927,0.14709381339181,0.0892584038760229,0.0968387639016427
"MIB2","grey","grey",0.0537847852649493,0.0348128621380844,0.109210292816131,0.0594423352600109
"CDK11B","grey","grey",-0.00186784081126475,0.0642920482347357,0.0704240382349136,0.043347587811017
"NADK","grey","grey",0.0290148915343979,0.037658403343992,0.0873528587033229,0.0748352639497734
"GNB1","blue","blue",-0.110936655695186,0.262080814787356,0.197442501670356,0.246004955698171
"PRKCZ","blue","blue",-0.012285693046084,0.15874850583049,0.176509973000352,0.181012902826107
"FAAP20","grey","grey",-0.0105519325992212,0.0513070476720614,0.046765495923662,0.0498062550020936
"SKI","turquoise","turquoise",0.21749617613327,-0.13562483581754,0.0948333813853592,0.042479295211947
"RER1","blue","blue",-0.107914597363132,0.215331960731319,0.108586818905244,0.0635018378306995
"PEX10","blue","blue",-0.0431644500096752,0.1047034475384,0.0806764004585764,0.0731130967589024
"PANK4","blue","blue",-0.047140930140986,0.120721148082375,0.0749856110796235,0.0378400744092971
"FAM213B","blue","blue",-0.118677520141106,0.193905365606477,0.095351247008167,0.109630861895143
"TPRG1L","blue","blue",-0.20991114509434,0.321578287514282,0.134084167657106,0.137849676370131
"LRRC47","blue","blue",-0.123050007288216,0.223382172839092,0.104696401163463,0.0656448335721945
"CEP104","grey","grey",0.100488878880234,-0.0260065820721244,0.100635981964072,0.0826398072377556
"AJAP1","turquoise","turquoise",0.197553135536423,-0.0401306714507027,0.199955140512209,0.169731486347377
"AL365255.1","turquoise","turquoise",0.304416747661836,-0.183291418416726,0.125076877134012,0.0506782065592767
"NPHP4","turquoise","turquoise",0.215099747661932,-0.115172334257915,0.108199488749698,0.0618276219896413
"KCNAB2","blue","blue",-0.0978796398717395,0.250961717908575,0.158922630081773,0.113076817793411
"CHD5","blue","blue",0.00284050472456781,0.153270724262711,0.196518279422231,0.17740769843666
"RPL22","grey","grey",0.0383344356127032,0.022078248053917,0.0670288631416353,0.0403403055679194
"ICMT","blue","blue",-0.123508976920037,0.218359682749522,0.116346897428561,0.102816387007801
"ACOT7","blue","blue",-0.321539283027422,0.494186576868563,0.135883935605809,0.0574084804586269
"NOL9","grey","grey",0.0626208975384721,0.0293817746466609,0.0994020496607627,0.0736020382277825
"KLHL21","blue","blue",-0.0579702831369273,0.131012274095833,0.0910690378851509,0.0729343981237825
"THAP3","grey","grey",-0.0291370362102571,0.0976566989659467,0.0745629585633738,0.0582649503682671
"DNAJC11","grey","grey",0.0886024366954795,0.0134827462183152,0.125074834512683,0.0904824042967842
"CAMTA1","turquoise","turquoise",0.294906325965459,-0.0875173834973339,0.22336560119126,0.166952441510949
"PER3","turquoise","turquoise",0.145433974076774,-0.0682295680758517,0.073775804991401,0.0327285815590017
