"gene_name","module","color","kME_grey","kME_turquoise","kME_green","kME_yellow","kME_red","kME_blue","kME_pink","kME_brown","kME_black"
"Xkr4","grey","grey",-0.0489100913877819,0.0841184442550068,0.178033663255589,0.0259088046137248,-0.144977026381089,-0.139591116827777,0.154401366455231,-0.0570495529093223,0.00461326071871641
"Gm1992","turquoise","turquoise",-0.0377380189480263,0.133307406797922,0.0732398678658003,-0.0490163603791713,-0.1033726874592,-0.0238149322764718,0.12128371762053,-0.106551314921647,0.0427739556194649
"Rp1","grey","grey",0.0213445259055568,0.0296568187348349,0.00125007240262207,-0.0135366296069013,-0.00204183233819059,-0.018241143720103,0.00423963261708494,-0.00990721681203281,0.0219674851586873
"Mrpl15","grey","grey",-0.00143994407358583,0.0476743073502085,0.00476914783245345,-0.0227737839258097,-0.0284973529536778,0.0807131647676773,0.0357773249205178,-0.0403916059463018,0.0114929141296642
"Gm37988","grey","grey",0.0187773296007215,-0.0177571097042997,-0.00572127705494273,0.0131790209208892,0.0150487138860533,0.0406737553091031,-0.0102632137806462,0.0197124399391675,-0.00500881846020498
"Tcea1","grey","grey",0.0328579389843406,0.00795868805646668,0.0218488828948873,0.0133769641217433,-0.00255349040213704,0.011603909994157,0.0291344485720523,0.0031034768421185,0.00328693620608083
"Rgs20","green","green",0.0425642707036621,0.0379163087284956,0.233644597255395,0.187956176991119,-0.171480271851506,-0.0547631770058964,0.175018340494219,0.0267034225065417,-0.119553690141615
"Atp6v1h","grey","grey",0.124505961670368,0.0184355331015226,0.00260854680946759,0.0101707286853223,0.0521016961151812,-0.0402662517519428,0.00519220191428106,0.0355750587629595,0.0755945686769273
"Oprk1","yellow","yellow",0.098465246047236,-0.0872413890807156,0.343704408297909,0.390973812812215,-0.102979295148417,-0.044118489317372,0.130381355504402,0.165847335846039,-0.229531030324126
"Rb1cc1","grey","grey",0.0996139456516071,0.0299066167714351,0.00627587110125997,-0.00987330013751125,0.0421799927343773,-0.0323693430464074,0.0196476676038385,0.0163352104160751,0.0907332924446806
"4732440D04Rik","grey","grey",0.0396385313659537,0.00436558358015059,-0.00954283900046956,-0.0128247136012192,0.0316223611246024,0.0106961970428133,-0.00304502912483889,0.00534397247168175,0.038616477896302
"St18","grey","grey",0.0323439373387213,-0.0164811153025851,0.0194627449892048,0.0328447682078553,0.00563786127387435,0.00733453501372966,0.016162936755714,0.0244614540294128,-0.0102744361350763
"Pcmtd1","yellow","yellow",0.0842119476227768,-0.0564500010077938,0.212454175777721,0.218044179676351,-0.0521622905029642,-0.0438682230734912,0.0338430647144123,0.106288604902405,-0.116285156342363
"Gm26901","grey","grey",0.0390321905031849,0.0629607006992152,0.0791403328130857,0.0197126119998477,-0.0277922200787435,-0.0277565981358304,0.0735784162313087,-0.0354742437891135,-0.00876559914760275
"Sntg1","grey","grey",0.371168375768588,-0.0945723769070763,-0.0581447191512321,0.0282371585227313,0.329499178219221,-0.166320648589189,-0.0621941848686573,0.216833025581766,0.221695912648554
"Rrs1","grey","grey",-0.0181120081897094,0.0203391591316114,0.017872537582923,0.000881830812192254,-0.0249157910957436,0.0534574098407213,0.0145172066568518,-0.0192941224946707,-0.00709482864949832
"Adhfe1","grey","grey",0.00737555177359113,0.026325569675907,0.0292855368927065,0.00586928916634983,-0.0261327972826859,0.00303610163120325,0.0365141405737715,-0.0172380510159768,0.00808386782225564
"3110035E14Rik","grey","grey",0.0457245244343044,-0.084630479258024,0.0413092609886601,0.0953451676276666,0.00798796822641124,0.0433726515837578,-0.0246179308894479,0.0920109892264456,-0.0650885481510898
"Mybl1","grey","grey",0.00330192740945021,-0.0025470430764576,0.0150740822727695,0.0130600800398201,-0.0189157132420635,0.0176998732752641,-0.00201988304596688,-0.000168377923817493,-0.019564754429376
"Vcpip1","grey","grey",0.075193359039518,-0.00830098517994022,0.0148507773654694,0.0220746888519961,0.0289260928971113,-0.00401635322992514,0.00102788385599978,0.0360210443591448,0.0233684711407685
"1700034P13Rik","grey","grey",0.0018708118792324,-0.00268786908673015,0.00736115983990626,0.0177784005302735,-0.019606242389205,0.0108665612890544,0.00819706058659432,0.00467705337574388,-0.0289881693293111
"Sgk3","grey","grey",0.180708173494492,-0.0274594622036361,-0.228263849103867,-0.132189715667745,0.267766786568498,-0.0240498268621532,-0.155932599142195,0.0716443334298807,0.227949039662062
"Mcmdc2","grey","grey",0.105573061485137,-0.115377273429574,0.00492780775488262,0.090771921408171,0.0880089641486319,-0.012223422613088,-0.0564193208957319,0.130981137603576,-0.0334842006649471
"Snhg6","grey","grey",0.000589657694267154,-0.0363226521612704,-0.0136684764165355,0.0161561376526092,0.0182271324086272,0.0475409674711283,-0.0233895457861515,0.0236990640603441,-0.0152864662403552
"Gm15818","grey","grey",-0.0312340906382014,0.0562256434780586,0.0176375520204393,-0.0238025950405307,-0.0370139142653728,0.0466824640199403,0.035022358391293,-0.0577962579742331,5.50808677692459e-05
"Cops5","grey","grey",0.0587250496493762,-0.000578683527085193,-0.0151774507161551,-0.00090585934862254,0.0433626281381742,0.063464742955603,-0.01603719722524,0.024184551356109,0.0341069232833867
"Cspp1","grey","grey",0.18923387867289,-0.0785002930805915,0.000622922299172674,0.0813692879710799,0.132117142141874,-0.0893558676361458,-0.0587053835949568,0.146175494166638,0.0564566030500323
"Arfgef1","grey","grey",0.10838042302497,0.0552886454098596,0.0223277779367432,-0.00866516945316281,0.0149945425339488,-0.0394725347434425,0.0332941663756884,0.00595357172785517,0.0796570206321598
"Cpa6","grey","grey",0.0162578841555942,-0.017111235641027,0.0240231808251554,0.0434898087567645,-0.00866716419442907,6.22295217574206e-05,-0.000235353206260015,0.0303225157971799,-0.0193893377034582
"Prex2","red","red",0.390876886675121,-0.385041666016392,-0.443825423258288,-0.0743443680945177,0.6836931760821,-0.0307427582095839,-0.391940385028065,0.402756129514746,0.296762916248166
"A830018L16Rik","red","red",0.448948097848288,-0.516064389155011,-0.297111324176015,0.14095934577013,0.683140427239553,-0.0616629760512615,-0.385128374499342,0.533789113907,0.142058244307318
"Sulf1","grey","grey",0.0649616284185587,-0.283174919156259,0.104136330171628,0.293853660542199,0.0141924467772391,-0.0194083733660488,-0.119862706427476,0.278735690363254,-0.267177636815779
"Slco5a1","grey","grey",0.0563960861651298,-0.0433596822620302,0.115322764280076,0.132167111507185,-0.0228499867572164,-0.0325976654442587,0.0155839128948929,0.0665035717962581,-0.0827476495902938
"Ncoa2","grey","grey",0.145094456122085,0.0522397005316006,0.000280185018514667,-0.022337760238579,0.0612848017001057,-0.0707325564326885,0.0363528184194293,0.0197384093292535,0.0955117782255361
"Tram1","grey","grey",0.110935489269901,-0.0870153541522213,-0.0586412033505835,0.0209012281661474,0.12727768697478,-0.00803310305811855,-0.0786634666360488,0.103430042174655,0.0442497875875059
"Lactb2","turquoise","turquoise",-0.0521210965297051,0.28696082657824,0.0344345980590082,-0.143870495280372,-0.144680309445284,-0.0335368338205161,0.11846657600754,-0.233760599435597,0.11440537682984
"Eya1","green","green",0.0632098272753921,-0.0970290112239383,0.264563042639545,0.239474371154278,-0.0269261167425869,-0.0171373119152015,0.232470164710461,0.0946240693895571,-0.0911131532749957
"Kcnb2","green","green",-0.0972361089234272,0.21363880597169,0.487677232665404,0.23412299369558,-0.436316355540625,-0.0845670174473855,0.340057714576323,-0.138748687954059,-0.172995851490846
"Terf1","grey","grey",0.0375827789219107,0.0079546132034205,0.111334459003551,0.0779336924704732,-0.0515328473122658,-0.036912908970927,0.0316734411450071,0.0249836497356198,-0.0433063774908396
"Sbspon","grey","grey",0.0430555871910366,0.01585312191799,0.0597476129343801,0.042703285843819,-0.020442249562164,-0.0333486641094894,0.0303094977175228,0.0120055528610663,-0.00830378585171528
"4930444P10Rik","grey","grey",0.165635522880462,-0.153014911030554,-0.0240413783201657,0.0971079696727327,0.172833477562517,-0.0223209820994716,-0.0827977839668328,0.18021035522003,0.020642456130482
"Rpl7","blue","blue",-0.0563080025527657,-0.0304689499860876,-0.019920560449415,0.00691408440261812,-0.0136316337516102,0.301347788481436,-0.0201723905759296,-0.00674904430251083,-0.0541273394328235
"Rdh10","grey","grey",0.0672492357732819,0.000716343802341647,0.04687730089402,0.0443159787126378,0.0009857931047449,-0.0363163000697136,0.00917341336948219,0.0283892208565041,0.00207778961745134
"Gm28095","grey","grey",-0.0154424752689275,0.0453851209416436,0.00064208671612007,-0.0254382286467173,-0.0329850491613883,-0.00498686275570578,0.0237630188189759,-0.0423549336791494,0.0243689191390624
"Stau2","grey","grey",0.176772058861821,0.0919211423640463,0.0905665372794559,0.0526425946248687,-0.0162943738629048,-0.0935259776104475,0.0646115096811431,0.0266573378835125,0.0815437904062495
"Gm7568","grey","grey",0.0321977588809585,0.0559805858551237,0.0240654059533567,-0.00562401034574132,-0.0279160874978987,-0.0122614287127196,0.032967136398023,-0.024327781876854,0.029354540088303
"Ube2w","grey","grey",0.155101559159622,0.0012612829365348,0.0562363574491491,0.0644675386114425,0.0397245649550321,-0.0652965507035424,0.0392229883861072,0.0710925171840103,0.0445576887940387
"Eloc","grey","grey",0.0237980876483336,-0.00728414901051147,-0.00644246305438285,0.00449921360658756,0.00633412785785174,0.126190709232717,-0.0042131292412489,0.0072020738893913,-0.000416058490829952
"Tmem70","grey","grey",0.0209877619688088,0.0257259059174908,0.00197572703153063,-0.0104867779620881,-0.00540473489287621,0.0194003907066709,0.00107216195474169,-0.0105809451429526,0.0226703142266272
"Ly96","turquoise","turquoise",-0.0498425139856106,0.141487478919598,-0.0263936302675156,-0.101070796976023,-0.0671227565727148,-0.00643746989185842,0.0213462058066693,-0.124931068793708,0.0793898772683029
"Gm28376","turquoise","turquoise",-0.0995423715043631,0.183190722863067,-0.00305370968587305,-0.0768592537716939,-0.150295387267022,-0.00545513854043237,-0.0201413771193419,-0.15335532520354,0.0269971503168345
"Jph1","turquoise","turquoise",-0.0645329994447282,0.152684529432265,0.0111907670228386,-0.0500673463225897,-0.12434346476706,-0.0307500784280836,-0.0195844530562963,-0.114118012307106,0.0339084287510631
"Gdap1","grey","grey",0.0329890022864764,0.0586380446432294,-0.00816521375942144,-0.0323498889392883,-0.0172656545697757,0.0455281240153417,0.0136908957639752,-0.0331658503267306,0.0402180416978157
"Gm16070","yellow","yellow",0.13776681746182,-0.18069274314626,0.250955017203446,0.390354173514183,-0.0181397417424757,-0.0628077925878983,0.0324839203826363,0.240620673457857,-0.198991220493444
"Crispld1","grey","grey",0.0329310903518089,-0.0417812040511395,0.105830385739455,0.139665304086479,-0.0267212503151318,-0.00282207289844362,0.034883203787716,0.0670923922067118,-0.0819262834632467
"Gm28153","turquoise","turquoise",-0.0859786544374709,0.185825878631974,0.0350064249383783,-0.0542660600096393,-0.128462857987655,0.0856627360309689,0.0643153527182644,-0.161490924209697,0.0140995935631197
"Pkhd1","grey","grey",0.0591054270520235,0.0030401831515168,0.00627563855679961,0.00671722305800917,0.031212984060005,-0.014726491138732,0.0119153135332326,0.0204784767550546,0.0407131463513391
"Paqr8","grey","grey",0.0165053948328926,0.00616056413090333,0.053071488778116,0.0404381035797384,-0.0225121403817776,-0.0308030412587943,0.0736451237044981,0.00726978214671567,-0.00135756794527612
