"gene1","gene2","tom"
"Pbx1","Nos1ap",0.212730073669648
"Pbx1","Frmd4b",0.216914550282745
"Pbx1","Pex5l",0.195956835823408
"Pbx1","Sgcz",0.173760093287372
"Pbx1","Csmd1",0.216378670249402
"Pbx1","Elavl2",0.20644063448942
"Pbx1","Adarb2",0.203256490564773
"Pbx1","Zfhx3",0.198197214886396
"Pbx1","Col25a1",0.186551885403024
"Pbx1","Slc35f1",0.206888154007647
"9530059O14Rik","Nos1ap",0.222490313374442
"9530059O14Rik","Frmd4b",0.223125875979034
"9530059O14Rik","Pex5l",0.209815381354717
"9530059O14Rik","Sgcz",0.183280276440799
"9530059O14Rik","Csmd1",0.206120262921453
"9530059O14Rik","Elavl2",0.21284252137205
"9530059O14Rik","Adarb2",0.198736835275453
"9530059O14Rik","Zfhx3",0.194924331136342
"9530059O14Rik","Col25a1",0.202240100765677
"9530059O14Rik","Slc35f1",0.203927541315596
"Nos1ap","Frmd4b",0.224551602342577
"Nos1ap","Pex5l",0.21482300813237
"Nos1ap","Sgcz",0.188515309253075
"Nos1ap","Csmd1",0.206405611899768
"Nos1ap","Elavl2",0.215677222735686
"Nos1ap","Adarb2",0.199967005827799
"Nos1ap","Zfhx3",0.197729052846061
"Nos1ap","Col25a1",0.206459063666609
"Nos1ap","Slc35f1",0.203695222745143
"Frmd4b","Pex5l",0.211335872093248
"Frmd4b","Sgcz",0.186445358942175
"Frmd4b","Csmd1",0.21243687736263
"Frmd4b","Elavl2",0.217012335379514
"Frmd4b","Adarb2",0.20188630299659
"Frmd4b","Zfhx3",0.199334177476914
"Frmd4b","Col25a1",0.203951790994179
"Frmd4b","Slc35f1",0.208514132691056
"Pex5l","Sgcz",0.174609925652163
"Pex5l","Csmd1",0.188639911215999
"Pex5l","Elavl2",0.203255387169853
"Pex5l","Adarb2",0.18316668592261
"Pex5l","Zfhx3",0.186809563090233
"Pex5l","Col25a1",0.189109290842273
"Pex5l","Slc35f1",0.174523368421241
"Sgcz","Csmd1",0.172468062946942
"Sgcz","Elavl2",0.176292697951961
"Sgcz","Adarb2",0.169103360923355
"Sgcz","Zfhx3",0.180036911074111
"Sgcz","Col25a1",0.169741288264004
"Sgcz","Slc35f1",0.159405408110924
"Csmd1","Elavl2",0.196992429571465
"Csmd1","Adarb2",0.202273778700694
"Csmd1","Zfhx3",0.199324257624174
"Csmd1","Col25a1",0.179232259420477
"Csmd1","Slc35f1",0.204009287575068
"Elavl2","Adarb2",0.184030335734196
"Elavl2","Zfhx3",0.184931678157321
"Elavl2","Col25a1",0.1959109598827
"Elavl2","Slc35f1",0.187516539313067
"Adarb2","Zfhx3",0.196401557808859
"Adarb2","Col25a1",0.172774891839871
"Adarb2","Slc35f1",0.197139256674485
"Zfhx3","Col25a1",0.176382512240913
"Zfhx3","Slc35f1",0.190450939493781
"Col25a1","Slc35f1",0.16969034282539
