"gene_name","module","color","kME_yellow","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_red","kME_green"
"Xkr4","yellow","yellow",0.207767163351961,0.167271898509367,0.030786827496151,-0.149392195866604,-0.145211763870542,-0.0127548918610259,0.121493197316111
"Gm1992","blue","blue",0.0974863413128943,0.149416834365617,0.0740696082105417,-0.0365463345292846,-0.116084170701887,0.027765189665243,0.0727101363677488
"Rp1","grey","grey",0.0103234533562104,0.0178778398075486,0.0352088406042968,-0.0216149157588371,0.00349886214688712,0.0192063593502928,0.00612931809021943
"Mrpl15","brown","brown",-0.0110386847283963,0.0546336045721356,0.0557522983005662,0.0891874475774241,-0.0362176435692579,0.0242364045535133,0.0111653801207528
"Gm37988","grey","grey",0.00945169468676688,-0.0214083893272763,0.00208817551781033,0.0299807817291952,0.0212834966894092,-0.00322581237752869,-0.00848527907635625
"Tcea1","turquoise","turquoise",0.0143862907941244,0.0141740077174501,0.0498160045796004,0.0106536818548809,0.0115099716268927,0.0122780655315239,0.0166734970766763
"Rgs20","blue","blue",0.156583238106035,0.198568417073022,0.103097896098127,-0.0499479933592817,-0.195735709409408,-0.0899548524486979,0.254092720351275
"Atp6v1h","turquoise","turquoise",0.0134222770950292,-0.00683962498763625,0.0991011232197194,-0.0578056021750199,0.0745135399527961,0.0466812918120571,0.0110402932641689
"Oprk1","yellow","yellow",0.302035105392919,0.109088051875641,0.0952141731987428,-0.032790702650327,-0.0838439346660303,0.0544189230642127,0.0323552897334683
"Rb1cc1","turquoise","turquoise",0.00770061353927544,0.00433090517196483,0.0871585148437538,-0.0315318005750876,0.0590885642359455,0.0462992949651332,0.0046697506425129
"4732440D04Rik","turquoise","turquoise",0.0294828923158132,-0.0284803683065353,0.0168814888898627,0.0143556287041391,0.0440902811432872,0.0235632105578635,-0.0409415100801725
"St18","grey","grey",-0.00210426316754423,-0.00264253658626235,0.0125265450091487,0.0190349482818114,0.00840020695455425,-0.0129958715856321,0.0276804030553764
"Pcmtd1","red","red",0.146242150494283,0.074423895430818,0.0919788013142782,-0.0369485340432564,-0.0270264446323443,0.0983619329760489,-0.0475514347733552
"Gm26901","grey","grey",0.0444102660449731,0.0523920577894262,0.0855320653079748,-0.02648203849142,-0.00960545575791813,0.0141605318290667,0.0597367781636619
"Sntg1","turquoise","turquoise",-0.0763696413658709,-0.245827401249561,0.138415535368615,-0.18260294984259,0.442228737306108,0.0896548162536376,-0.0354485873758808
"Rrs1","grey","grey",0.0136517592883112,0.0287446647928134,0.0248922728541473,0.0660890437828921,-0.0264286478008269,-0.0039861686952721,0.0127771645153933
"Adhfe1","grey","grey",0.0261849337620235,0.0430650614832302,0.0377765012304065,0.0100296504108285,-0.0314519686398462,0.00130904187795682,0.0213032536007867
"Mybl1","grey","grey",0.00122952511634533,0.0330079595897175,0.0271068667972424,0.0145335999606458,-0.0252632538772856,0.0245330901020162,-0.0103134504061415
"Vcpip1","turquoise","turquoise",0.0112756846615366,-0.00344894794033561,0.0616248295658618,-0.00216696995835137,0.0462748762506078,0.0297718277142728,0.012016070610566
"1700034P13Rik","grey","grey",0.00914885352519205,0.0311335270633743,0.0276287459458252,-0.0006647688824273,-0.024703287171571,0.0171364328835479,0.00572281259871498
"Sgk3","turquoise","turquoise",-0.115537513212288,-0.187761036201276,0.0436014373606499,-0.0297883042342138,0.283847131086212,0.11437772098434,-0.149736013346598
"Mcmdc2","turquoise","turquoise",0.0170456573271253,-0.114141620538011,-0.0255530586744948,0.00967579646478077,0.125115838751029,-0.0110477369984222,-0.0294339741854882
"Snhg6","turquoise","turquoise",-0.00998997480375215,-0.0404287097243076,-0.023222081167627,0.053484088341233,0.0262058594537482,-0.0300392328151033,-0.00122888208624877
"Gm15818","brown","brown",0.0179845421184039,0.0487665443058437,0.0443891587058573,0.040859364563981,-0.0413795363887765,0.0290436817949464,-0.00490058136545043
"Cops5","turquoise","turquoise",-0.00845784988255321,-0.0236625670351376,0.0558796892889901,0.0706728517352191,0.0646333740951171,0.062939379446537,-0.0567211884314914
"Cspp1","turquoise","turquoise",0.0225240562881063,-0.101253686229985,0.0595375459999362,-0.0917012638903524,0.180767679875953,0.113695331859977,-0.107890574855907
"Arfgef1","turquoise","turquoise",0.0332719513808986,0.0454478245578458,0.126880755416208,-0.0399899384625433,0.0324353093767394,0.0888902300185009,-0.0106503001980437
"Cpa6","grey","grey",-0.00938100736163951,0.0284903703801203,0.0298023742694805,0.00667364166170704,-0.0161738079956207,-0.0132301505191201,0.0508793065017954
"Prex2","turquoise","turquoise",-0.214145539497268,-0.628469062455644,-0.147600885615831,-0.0568332170048917,0.704257262767776,-0.0178182932959954,-0.23975586865009
"A830018L16Rik","turquoise","turquoise",-0.168212134320142,-0.742695873840033,-0.224217324213043,-0.0815530777098014,0.80040639374401,-0.0376227893954321,-0.267060067932039
"Sulf1","grey","grey",0.216346187906607,-0.176925419359569,-0.244216362864803,-0.0257702543300745,0.0637626342259358,-0.173439093314759,0.0513034977572813
"Slco5a1","grey","grey",0.085762974409803,0.0336151352100666,0.0449248524341151,-0.0357622023644382,-0.0108344404729168,0.023480432769081,0.0197572062535528
"Ncoa2","turquoise","turquoise",0.00660533704858162,0.000710472233220527,0.13243033163313,-0.0666466504632194,0.0946273989144313,0.0394283992362972,0.0602517905853917
"Tram1","turquoise","turquoise",-0.0429198243339944,-0.123234848145161,0.00696394720507551,-0.0235155906654399,0.164369760121356,0.0184236565352701,-0.0593089957791673
"Lactb2","blue","blue",0.0102369322572196,0.275008301920642,0.224120880951118,-0.0287721686505874,-0.18488371690041,0.173256654991499,0.00466078068284128
"Eya1","yellow","yellow",0.335052136801763,-0.0439725646321835,0.0231172767552809,-0.0167052070447299,0.0225749642093811,-0.0521982400869836,0.0362876156149773
"Kcnb2","blue","blue",0.318752208794899,0.525347994418172,0.26903673795525,-0.0584562038979764,-0.480245871811248,0.186411518044265,0.0378981208424589
"Terf1","yellow","yellow",0.136545537881886,0.0646387295363898,0.0515178454858835,-0.026075416302037,-0.0458006067645736,0.069783100381619,-0.0345681682093732
