"gene_name","module","color","kME_grey","kME_yellow","kME_salmon","kME_green","kME_brown","kME_blue","kME_turquoise","kME_red","kME_cyan","kME_magenta","kME_black","kME_purple","kME_greenyellow","kME_pink","kME_tan"
"Xkr4","grey","grey",0.0873490888389213,-0.159803856591764,-0.13992954750933,0.263558503625012,-0.0635787774360186,0.18180864470448,-0.133209581862526,-0.388337557525189,-0.167635926736931,0.332427673789796,-0.0871798069586519,0.00783024294177759,-0.270114501740901,0.0716588332582189,0.181641881646595
"Gm1992","grey","grey",0.0535081882597654,-0.0674943420404876,-0.0445485530150819,0.109373687286398,0.00123768100573245,0.0550968177337166,0.0083871571211981,-0.133493561984166,-0.0744214588736658,0.152917308684431,-0.0603322959195362,0.0283202235385471,-0.101117959575959,0.0358828440837054,0.0514345260523782
"Mrpl15","grey","grey",0.0147722225802908,-0.00707489896464131,0.0187719647211755,0.0162616540158955,0.0251185274198722,-0.0292676740560412,0.0777371808393191,0.00310210102306442,0.0185019177178352,0.00618878143950614,0.0181850496302612,0.0187191945540416,0.014481067559005,0.0216884221153393,-0.00371741835844582
"Gm37988","grey","grey",0.006335306482361,0.012702382928421,0.00757076845002497,0.000173032702880291,-0.0231415973988926,0.0144282093650293,0.0513824591827695,-0.00242906143383013,0.0109933149743809,-0.0238991558986462,-0.00257484298344921,0.00016596699501929,-0.00548538449418022,0.0474366049281649,-0.0176467947735049
"Tcea1","grey","grey",0.0243070990534521,-0.0245595858139564,-0.00468949381633185,0.0330874464647652,0.00680407391410395,-0.000822984001462232,0.015652031846959,-0.0252326294606235,-0.0251551600249242,0.0243298164312522,-0.0119415861786771,0.0226304259384711,-0.0232091339077928,-0.00240780624250034,-0.00484627354838621
"Rgs20","yellow","yellow",0.0868991512146685,0.218395933036859,0.182323751581907,0.032340670373834,-0.0443831923960013,0.0656642825538998,-0.072179510378495,0.115584354262382,0.272988385547616,-0.143103880017257,0.158079639460452,0.0403622894396165,0.120373992753811,-0.0364632582149396,-0.0628001816702922
"Atp6v1h","grey","grey",0.121383012135443,0.0934578225045202,0.0850848250288682,0.0302907939770034,0.00695001074661719,0.0495006483413665,-0.00522439709253724,0.0695290049389313,0.0608750249237053,-0.0134974120227602,0.012468438969094,0.0472624920455459,0.0385966712651916,0.00122442773748225,-0.0423459942048101
"Oprk1","salmon","salmon",0.148358811774171,0.406553873027067,0.507376907046831,0.181897052488022,0.0128826959799505,0.039547597475903,-0.069935042049964,0.357076520616315,0.229000530765411,-0.154631467434207,-0.0558055520989947,0.321161992810025,0.0706676795503864,-0.0880028730412291,-0.366637434917667
"Rb1cc1","grey","grey",0.110704672224453,-0.00944284887751928,0.00207845157877634,0.069474240942476,0.0214423625381484,0.0432082208230284,-0.0439347838630582,-0.0360970677996729,-0.0311511072771139,0.068709476372834,-0.0110198621860172,0.043655289401023,-0.0239674448859447,-0.0283260465580283,0.0319047035121954
"4732440D04Rik","grey","grey",0.000198363712941513,-0.0320989087775515,-0.0148832939527557,0.0238285442261815,0.0107918911229063,-0.0185682007442365,0.0153999127653384,-0.0231891076029706,-0.0451961562853964,0.0386387190967028,-0.0422198447649127,0.0177225946246162,-0.0405447761205637,0.0328196393579842,-0.00635042992085503
"St18","grey","grey",0.0221910953205712,0.00277467782301569,0.0359691253140919,0.0188984928594273,0.00478567782737284,-5.52622367296152e-06,0.0138851665277617,0.0199008657615439,0.0167317132767093,0.0195464861418739,-0.0123457078521328,0.0250568695713209,0.0040193251133353,-0.00746621352331356,-0.00270395992002304
"Pcmtd1","green","green",0.121835151822468,0.0862850897671124,0.124862297740548,0.156055425936563,0.0189370656854522,0.0619262698396255,-0.0414345457888927,0.017574571236284,-0.00819450305059329,0.0933944276447497,-0.0729302480555362,0.116634031315916,-0.0321834635623137,0.00185845284438772,-0.0911896241690332
"Gm26901","brown","brown",0.116342212646117,-0.025998330967514,0.0993907704453807,0.0529819341364668,0.234907888723705,-0.153089261300201,-0.0443176266939581,0.113864671434485,-0.0561013146620407,0.149792769333589,-0.0493912692340792,0.18810083218639,0.0859898505025862,-0.126781387347412,-0.0521880342984772
"Sntg1","green","green",0.274088805054669,0.0362391495985096,0.188756907759087,0.300599612127407,0.142814099280579,0.0581220644721358,-0.129712684483036,-0.0607767654148504,0.0852032986700697,0.238905455608776,0.0253849515878485,0.274092909124003,-0.0221588419781126,-0.103396758114339,-0.00704764861256642
"Rrs1","grey","grey",-0.00458894389446796,0.00133979315313183,0.00369028422986164,0.0144176554382583,0.00889743238583154,-0.0127393656406471,0.0288163608765711,0.00285891875753988,-0.00843903575550608,0.00900388310788143,-0.00559712741136857,0.0188209557001921,-0.0150316196186444,0.000897375848374601,-0.00829559934556968
"Adhfe1","grey","grey",0.0289229207441388,-0.00591121909229602,-0.00111591517234945,0.0170432610535064,0.00755391084132536,0.00813789487466421,-0.00876839879245241,-0.00609216660709876,-0.00841076941277744,0.0273186754838013,-0.00406837838688378,0.00670317443205089,0.00419596585757913,-0.0120692449254209,0.0110499251584191
"3110035E14Rik","blue","blue",0.038587229804141,0.0371985669248292,-0.0184971858812826,-0.00103466146409456,-0.107894554013194,0.146793271916375,0.0306891246132569,-0.0464325806614838,-0.0188305006923553,-0.0146692441287079,-0.0548847065165256,-0.0556375154781358,-0.0792982517946551,0.0765481507212064,0.00247680665815562
"Mybl1","grey","grey",0.0162731445146481,-0.0311594950543551,-0.0388954018355045,-0.0244955309541158,-0.01126844032169,0.0232252972766299,0.0139746183117827,-0.0274952287141625,-0.0272439028036439,0.0160126688508371,0.00902641006549007,-0.0348831793906517,-0.0111011787810312,0.031485599001106,0.04657975611671
"Vcpip1","grey","grey",0.0702835015836813,0.0107012549360837,0.00964561432043963,0.0288109576923713,-0.0029436373775063,0.0399696432973189,-0.0115649659667516,-0.0101141507695344,0.0166594214739408,0.0145545084147609,0.00341739455289542,0.0164518785273067,-0.013463673528167,0.0218906877898322,0.0126197744515241
"1700034P13Rik","grey","grey",0.00806264228957082,-0.000827884297762768,-0.050735064931008,-0.0698503106720787,-0.0138038540408098,0.0188025663670866,0.0284579807264745,0.00664482422239614,0.0128538937389381,-0.0450109315231204,0.0467554339606422,-0.0576748035171042,0.0241341796082607,0.0218688557942086,0.05207707948972
"Sgk3","grey","grey",0.0739307231422654,0.0307236285905392,0.065094961865705,-0.0109610501376063,0.0677256476803224,-0.0352570325049457,-0.0161037074057493,0.0953651802493002,0.0185391586360011,0.00512355453302999,-0.0102299564206756,0.0652669625036233,0.0580466433124585,-0.0368477129667843,-0.027012506835771
"Mcmdc2","grey","grey",0.0368987459540977,0.0417658947927506,0.0126344659661815,0.0318999933140685,-0.0672454113048885,0.088808257867058,-0.0416071035761914,-0.0289352987742756,0.0174954336225906,0.00277159200361867,-0.0210026726573975,-0.01754040621354,-0.048722758837851,0.0429533659667336,0.002542108650216
"Snhg6","grey","grey",-0.00784068524421545,0.0140344845980667,-0.00341673118154765,-0.00419301055578743,-0.0155891931339949,0.0101254783615649,0.0296011931747044,-0.00248072394470178,0.00843662204229828,-0.0243587706997651,-0.00281456908965681,-0.0134206198233903,-0.0143798721627344,0.0211302142795322,0.00733768234916156
"Gm15818","turquoise","turquoise",0.00402515607943999,-0.015351672280271,0.0446506773269266,0.0238298919844426,0.0598636495864851,-0.0635286873301335,0.0795272416584219,0.0273708393065231,-0.0247442084837686,0.0262371835533223,-0.0307920781262162,0.0678231413071347,-0.00128108853173565,0.018591503325385,-0.0503820847434096
"Cops5","turquoise","turquoise",0.0395264102887906,0.0102082806507248,0.0205727624702226,0.0255632661572098,0.0136394300485332,0.00802221269093094,0.0531032597232898,0.0129414899269496,-0.00818868509030346,0.0367246960060876,-0.0215643819585861,0.0281208535594262,-0.0132515762560688,0.0207337094665263,0.00300227284152898
"Cspp1","grey","grey",0.149665583269142,0.150738415518638,0.143414259059343,0.0809334766701562,-0.0578651103460564,0.125168605980617,-0.0719553769722527,0.0893950941345146,0.0630583018048069,-0.0158201596412326,-0.0467996712401693,0.062642353835301,0.00192371751021482,-0.0194796691350196,-0.0575519472308135
"Arfgef1","grey","grey",0.139110438150782,0.00598851262750676,0.0144388378917775,0.0642297769840174,0.0148952681823503,0.0599266042882884,-0.0377084307947215,-0.00752151183963647,-0.0230446041072477,0.0859491504722901,-0.0403083955452634,0.0388321120403031,-0.0104738241252427,-0.0028531606376726,0.0394570644077137
"Cpa6","grey","grey",0.0379318730694678,0.0534057411382269,-0.00343824702199272,-0.000350053069776078,-0.0796173893041049,0.137856530360958,-0.0237963032126626,-0.0365236435243657,0.00108183587016204,-0.0399488600916825,-0.0233796633644292,-0.0562780031938003,-0.064682712089717,0.0279885805633271,0.0142234197046107
"Prex2","grey","grey",0.0185265591334024,0.0666068377789594,0.0534767054146364,0.0581944570672941,-0.0979382343926107,0.0807278769385318,0.0217470943627907,-0.0179169515441006,0.0600285901082167,-0.0549520062393494,0.0373908975615878,-0.0181884006149402,-0.018628071301357,0.0691762417963236,0.0329956798282106
"A830018L16Rik","red","red",0.103015592508985,0.246586691070758,0.303986092811811,0.0629740674308019,0.0687451081394229,-0.099380420928563,-0.0331200452325686,0.368379551440496,0.139168088317316,-0.0691685891574451,-0.0459086623205172,0.193842383183144,0.17696784913304,-0.0873572481524411,-0.109187583665773
"Sulf1","cyan","cyan",-0.0191221456200635,0.150676515662311,-0.0654805551462343,-0.159489362968196,-0.0889033827534934,0.0807590485531412,-0.0146917204609743,0.0483466368304459,0.361203601181911,-0.202595156949447,0.377682336305675,-0.231561810765851,0.208483356115113,0.0537503876024045,0.174891045909152
"Slco5a1","grey","grey",0.051621402403679,0.0479232123393375,0.0907072505554233,0.0485888759937356,0.0427953395477842,-0.0277347043997991,-0.0404701530805427,0.0652608211999055,0.0109918604410853,0.0339139095596183,-0.0351058812973188,0.0713540525659792,0.0426246936950766,-0.0351895023510821,-0.0156704910632584
